"","MMRS12272136ST-27-0-0","MMRS14379078ST-27-0-0","MMRS14602194ST-27-0-0","MMRS15137911ST-27-0-0","MMRS16644320ST-27-0-0","MMRS18295921ST-27-0-0","MMRS24340226ST-27-0-0","MMRS25641480ST-27-0-0","MMRS31306426ST-27-0-0","MMRS34525504ST-27-0-0","MMRS41266697ST-27-0-0","MMRS41711735ST-27-0-0","MMRS42780924ST-27-0-0","MMRS43563715ST-27-0-0","MMRS43939546ST-27-0-0","MMRS44197125ST-27-0-0","MMRS44203591ST-27-0-0","MMRS44587603ST-27-0-0","MMRS47662059ST-27-0-0","MMRS47685461ST-27-0-0","MMRS51410669ST-27-0-0","MMRS51728985ST-27-0-0","MMRS54316675ST-27-0-0","MMRS55294627ST-27-0-0","MMRS59699117ST-27-0-0","MMRS62376181ST-27-0-0","MMRS64281211ST-27-0-0","MMRS65205033ST-27-0-0","MMRS65945127ST-27-0-0","MMRS67247116ST-27-0-0","MMRS68910755ST-27-0-0","MMRS71762412ST-27-0-0","MMRS72802364ST-27-0-0","MMRS72980899ST-27-0-0","MMRS77018926ST-27-0-0","MMRS77321055ST-27-0-0","MMRS77487595ST-27-0-0","MMRS78791111ST-27-0-0","MMRS80093644ST-27-0-0","MMRS81194191ST-27-0-0","MMRS81671217ST-27-0-0","MMRS84954772ST-27-0-0","MMRS85382779ST-27-0-0","MMRS86178473ST-27-0-0","MMRS86958796ST-27-0-0","MMRS90191266ST-27-0-0","MMRS92544445ST-27-0-0","MMRS93508324ST-27-0-0","MMRS96422329ST-27-0-0","MMRS97052561ST-27-0-0","MMRS97327636ST-27-0-0","MMRS99045180ST-27-0-0"
"Flavonifractor plautii",0.0631,0.10303,0.6521,0.4109,0.01904,0.04779,0.87584,0.13981,1.04727,0.02002,0.10922,0.20432,0.30888,0.15543,0.15084,1.24988,0.43739,0.01911,0.02387,1.02776,0.04994,0,0.01609,0.43817,0.33603,0.45675,1.35113,0.07993,2.42056,0.10992,0.49346,0.07199,0.15444,2.05025,0.0058,0.11704,0.01102,0.26486,0.01382,0.38099,0.01126,0.01603,0,0.16874,1.78026,0.0372,0.14422,0.014,0.07412,0.31476,0.94064,0.37235
"Paraprevotella clara",0,0,0,0,0,0.02067,0,0,0,0.00939,0,0,0,0,0,0,0.00537,0.00389,0.00161,0,0.01403,0,0,0,0,0,0,0,0,0,0,0,0,0.00432,0.00139,0,0,0.00098,0,0.1115,0.06941,0,0,0,0.00067,0,0,0.10142,0,0,0,0
"Alistipes onderdonkii",0,0,0,0.01114,0,0,0,0,0,0,0,0.02087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0,0,0.00598,0.09145,0,0,0
"Blautia hansenii",0,0,0,0.00065,0,0,0,0,0.10883,0,0.01133,0,1.19136,0,0,0,0.35452,0,0,0.12104,0,0,0,0,0,0.52903,0.02739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01878,0,0,0,0,0,0,0.25903
"Streptococcus parasanguinis",0.04603,0.13407,0.06863,0.09759,0.80904,0.25713,0.08249,0.01716,0,0.00493,0.01151,0.19688,0.00684,0.17741,0.01782,0.00418,0.00095,1.18774,0.04974,0.00385,0.01442,1.62442,0.04304,0.00989,0.0044,0.37237,0,1.94257,0.02388,0.00454,0.00623,0.00032,0.0096,0.15409,0.01526,0.44148,0,0.04906,0.1469,0.02281,0.0296,0.01114,0.03449,0.0688,0.54468,0.0277,0.00767,0.09001,0,0.02579,0,0.01049
"Veillonella dispar",0,0.10286,0,0,0,0.12028,0,0,0,0.00557,0,0,0,0,0,0,0,0,0,0,0,0.63215,0,0,0,0,0,0.31459,0.00938,0,0,0,0.00232,0.01216,0,0.15947,0,0.0133,0,0,0,0,0.00578,0,0.03141,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:110",0.02647,0,0.00684,0.24486,0,0.06819,0,0,0.00497,0.01647,0,0,0,0,0,0.30014,0,0.23283,1.65882,0,0.65928,0,1.16278,0,0,0,0,0.05365,0,0,0.00295,0,0.01799,0,0.26132,0,0.61727,0,0,0,0.07774,0,0.02101,0,0.0134,0.4039,0,1.99562,0,0,0,0
"Enterocloster bolteae",0.02152,0.03002,0.00967,1.59394,0.00329,0,0.03271,0.01192,0.0666,0,0.00833,0.4349,0.0244,0.01839,0.08574,0.00745,0.19373,0,0,0.2181,0.01956,0,0,0.08323,0.54552,0,0.00732,0,2.28667,0.03268,0,1.42172,0.05401,0.63759,0,0.00544,0.00142,0.00766,0.02582,0.29659,0.00109,0.01442,0.00217,0.64605,0.03494,0.00049,0.2619,0.00216,0.02625,0.03383,0.08248,0
"Adlercreutzia equolifaciens",0.04011,0.02461,0.10956,0.12325,0.03291,0,0.20604,0.07814,0.00204,0,0,0.00302,0.01662,0.08186,0.04585,0.16465,0.00103,0.00064,0.0718,0,0.04683,0,0.01477,0.09968,0.02832,0.04114,0.00054,0,0.00049,0.0172,0,0.05316,0.03262,0.1888,0.01837,0.06176,0,0.10858,0.02859,0,0.00129,0.04356,0.06529,0.22514,0.14177,0.02917,0.05408,0,0.21529,0.06012,0,0
"Veillonella parvula",0,0.16015,0,0,0,0.05419,0.02334,0,0,0.0383,0,0.18286,0,0.00517,0.10155,0,0.00994,0.05488,0.04423,0,0,0.30402,6e-04,0,0,0.00945,0,0.78374,0.01623,0.00068,0,0,0.08014,0.35647,0,0.43415,0,0,0,0.00118,0.00931,0,0.16589,0.06352,0.16374,0,0.00532,0,0,0.00109,0,0
"Holdemania filiformis",0.06588,0.00074,0.06568,0.03994,0.01526,0,0.01746,0.04415,0,0.00967,0,0,0.02054,0,0.0262,0.01559,0.06921,0.13071,0.00681,0,0.0047,0,0.01482,0.04759,0.12623,0.01832,0,0,0,0.01517,0.00046,0.0299,0,0,0.02265,0.02628,0.02334,0,0,0.03396,0.01306,0.03871,0,0,0,0.0279,0.0924,0.0277,0,0,0,0.06792
"Streptococcus salivarius",0.01736,0.08393,0.05144,0.23279,2.10267,0.1651,0.34542,0.03236,0.00081,0.19672,0.00541,0.01099,0.01566,0.01371,0.04886,0,0.01064,2.17297,0.01102,0.00717,0.02142,0.80241,0.2406,0.01443,0.00777,0.55469,0.00012,0.55059,0.20139,0.03716,0.01163,0.01731,0.06633,0.11703,0.00029,0.56442,0,0.10571,0.2463,0.0103,0.01777,0.00894,0.06753,1.04623,1.07252,0.21689,0.00238,0.34222,0.06563,0.02877,0,0
"Eggerthella lenta",0.02949,0.05152,0.09349,0.51092,0.01953,0,0,0.04104,0.02007,0,0.14177,0.42737,0.0178,0.01643,0.31455,0.02915,0.03483,0,0,0.12298,0,0,0,0.03779,0.10305,0.00453,0.12676,0,0.91441,0,0.06861,0.01725,0.1301,0.36741,0,0.54246,0,0.09217,0.74734,0,0,0,0.01327,0.09838,0.06024,0,0.04071,0,0.17158,0.08929,1.02729,0.23839
"Ruthenibacterium lactatiformans",0.09238,0.07427,0.34016,1.37664,0.07404,0.05199,0.10971,0.6344,0.20532,0.10636,0.15613,0.06253,0.12831,0.0944,0.07042,1.37181,0.00752,0.07012,0.04454,0.14104,0.13859,0,0.10782,0.57676,0.08807,0.17477,0.15835,0.03888,0.07156,0.05975,1.13084,0.11722,0.11854,0.67983,0.21881,0.09982,0.16322,0.13725,0.66842,0.10185,0.02199,0.22657,0.06465,0.3141,0.10983,0.01679,0.0966,0.04453,0.11004,0.11485,1.82632,0.13499
"Coprobacter secundus",0,0,0,0,0,0.00524,0,0.04183,0,0,0.26583,0,0,0,0,0,0,0,0,0,0,0,0.01946,0.15629,0,0.01821,0,0,0,0,0,0.01665,0,0,0.0077,0,0,0.11466,0,0,0,0.02613,0,0,0,0.08487,0.02891,0.0113,0,0,0,0
"Intestinimonas butyriciproducens",0.02166,0.0578,0.01296,1.1653,0,0,0,0.00012,0,0.03056,0.13895,0.17353,0.00634,0.01375,0.02159,0.0169,0.00742,0.00876,0.00869,0.88745,0.03514,0,0.01249,0.25311,0.05978,0.00095,0.05319,0,0,0.01059,0.00089,0.08414,0,0.12845,0.19392,0,0.15835,0.03386,0.22493,0,0.00127,0.00799,0.03616,0.00901,0.04319,0.00365,0.0312,0.057,0.00017,0.00238,0.111,0
"Butyricimonas synergistica",0.0565,0,0,0,0.03101,0.06065,0,0,0.13006,0.02501,0,0,0.12421,0.15678,0,0,0.03831,0.03348,0.1867,0,0,0,0.08472,0.18887,0,0.00025,0,0.01471,0,0.00348,0,0.012,0.0186,0,0,0,0.06133,0.06198,0.07698,0.02049,0.01136,0.02423,0,0,0.07066,0.00821,0.03104,0.0416,0,0.0403,0,0
"Proteobacteria bacterium CAG:139",0.00582,0,0,0,0.00195,0,0,0.00721,0.00075,0,0,0.915,0.00068,0,0.05032,0,0.0908,0,0.01553,0,0.00117,0,0.00466,0,0.09128,0,0,0,0,0.09585,0.04271,0.00076,0,0,0,0.2013,0.00268,0,0.60482,0,0.00014,0.00506,0,0,1.71083,0,0,0,2.25609,0.04545,0,0
"Bilophila wadsworthia",0.0807,0.02447,0.05534,0.07635,0.00035,0.0081,0.06351,0.1486,0.10982,0,0.02097,0.0198,0.03951,0.02725,0.06355,0.06634,0.01973,0.1231,0,0.12302,0.02058,0,0.00312,0.01872,0.04899,0.05479,0.06065,0.04828,0,0.01222,0.12463,0.067,0.07296,0.19723,0.04852,0,0.09894,0.00416,0.18067,0.09125,0.00462,0.02867,0.00637,0,0,0.00433,0.18541,0.02598,0.04192,0.11553,0,0
"Desulfovibrionaceae bacterium",0,0,0,0.19299,0.00937,0.00943,0,0,0.16013,0.01726,0.07895,0,0.02397,0,0,0,0,0.02091,0.09435,0,0,0,0.05178,0,0,0.01781,0,0.02519,0,0,0,0,0,0,0,0,0,0.0273,0,0.05946,0.00697,0,0,0,0,0.10564,0,0.1319,0,0,0,0
"Oscillibacter sp. CAG:241",0.2775,0.00091,0.14812,0,0.00423,0.16256,0,0,0.00085,1.20948,0,0.34382,1e-04,0.00607,0,2.48328,0,1.10133,0.04648,0,0.29051,0,0.29745,0,0,0,0,0.14473,0,0.01951,0,1.33994,0.06145,0,19.42363,0.24877,0.03471,0.04868,0.73189,0.10816,0.04937,0.1501,0.51729,0,0.00559,0.06425,0,0.00032,1.64389,0,0.00062,0
"Enterocloster citroniae",0.03584,0.00474,0.00335,0.04947,0.0052,0,0.01405,0.02636,0.00859,0.00176,0.04817,0.11113,0.0134,0.0286,0.01625,0,0.03938,0.00993,0,0.06797,0,0,0,0.02463,0.04182,0.03263,0.01598,0,0,0.00728,0.01128,0.0172,0.0077,0.11986,0.00295,0.01793,0,0.05071,0.14404,0.05683,0,0.01738,0,0,0.00904,0,0.02558,0,0.009,0.01416,0.0175,0
"Firmicutes bacterium CAG:94",0,0,0,0.5602,0.04164,0.00102,0.14185,0,0,0,0.01246,0,0,0,0,0.0062,0,0,0.01865,0,0.04458,0,0.00873,0,0,0,0.13387,0,0,0.25901,0,0.58195,0,0,0,0.01013,0.20711,0,0.81154,0,0,0,0,0,0.02672,7e-04,0.28606,0.01058,0.07137,0.09407,0.16882,0
"Bacteroides xylanisolvens",0.06447,0,0.03959,0,0.38652,0.0718,0,0.11213,0.07077,0.00172,1.11379,0.59886,0.16376,0.42907,1.17338,1.32022,0.03189,0.16009,0.08997,0,0.14141,0,0.17166,0.00143,0,1.42921,3.17227,0,0,0,0.48342,2.48277,0,0,0.0267,0,0.2014,0.24906,0.00156,2.12815,0.16192,0.01549,0.41218,0,1.4642,0.17947,0,0.00196,0,0,0,0
"[Ruminococcus] lactaris",3.14573,0.45719,0.97826,0,0.13954,1.12852,0.00026,0,0,0.04933,0,0,0,0.96702,0,0,0.00835,0,1.86479,0,1.36128,0,0.09853,0,0.00108,0,0,0.70835,0,0,0,0,0,0,0.04079,0,0,0,0,0,2.1039,0.77783,0.97451,0,1.03112,0,0,0,0.16277,0,0,0
"Escherichia coli",0,0.00177,0.89975,1.8291,0.41948,0,0.00955,0.00296,0.04009,0.07859,5.92893,28.44459,0.00029,0.00937,0.43759,0,0.28046,0.00457,2.8755,0.27792,0.00085,33.31977,2.08755,0.00609,0,0.00384,5.03848,0.09362,2.61271,0.03962,0.00085,0.35508,0.07485,0.24741,0,0.03318,2.73145,0,2.3065,0.11728,0.15969,0.01786,2.65421,0.02058,0.04821,0.00761,0.47213,0.0621,0.00496,0,0.11312,0
"Blautia sp. CAG:257",0,0,0,0.81333,0.00246,0,0.60316,0,2.21145,0,0.70016,0.1573,0.90214,0,0.00277,0.46778,1.00405,0,0,8.08726,0.01114,0,0,0.00209,0.38297,0.42153,0.99946,0,3.9601,0.01243,0.30215,0.10946,0.02074,0.43476,0,0,0,0.0262,0,0,0,0,0,0.03994,0.01782,0,0.00084,0,0,0,0,0.18662
"Erysipelatoclostridium ramosum",0,0.01356,0.00334,0.2388,0.00024,0,0.61245,0.01377,0.0225,0,0.04489,0.00262,0.01634,0.0023,0.44127,0.00134,0.01839,0,0,0.37363,0,0,0,0.02561,0.59896,0.10664,0.25979,0,0.98005,0,1.76774,0.00684,0.21402,2.12478,0,0.07758,0,0.0387,0.39342,0.42207,0.08072,0,0,0.09756,0,0,0.14588,0,0,0.002,0.56131,0
"Flavonifractor sp. An100",0,0,0,0.00476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0
"Enterocloster lavalensis",0.00248,0,0.00733,0.00607,0.00029,0,0.03421,0.03779,0.00418,0,0.05134,0.10467,0.03705,0.03065,0.00833,0.00579,0.04813,0.01074,0.00999,0.10502,0.00738,0,0,0.01099,0,0.00218,0.05102,0,0,0.01028,0.09621,0,0.00152,0.01847,0.00902,0.00027,0,0.03318,0.04426,0.01063,0,0.00754,0.00295,0.06888,0.00016,0,0.07012,0.00632,0.0208,0,0.07721,0.04543
"Alistipes indistinctus",0.0142,0,0,0,0.00028,0.04342,0,0,0.03845,0.23102,0,0,0.00201,0.12163,0.05266,0,0,0.09937,0,0,0.04442,0,0.4706,0.06219,0,0.02369,0.15552,0,0,0,0.16933,0.4848,0.02062,0.06655,0.13052,0,0.44353,0.03975,0,0.0228,0.33071,0.04949,0.04725,0,0,0,0.26676,0,0.19266,0.13077,0,0
"Haemophilus parainfluenzae",0.00187,0.085,0,0,0,0.0187,0.02291,0,0,0.06596,0,0.01586,0,0.01261,0,0,0,0.00332,0,0,0,0.15703,0,0,0,0.0301,0,0.09017,0,0,0,0,0.04729,0.05988,0,0.02617,0,7e-04,0,0,0.00235,0,0.0248,0.18308,0.01413,0.00099,0.00436,0,0.00153,0,0,0
"Eisenbergiella massiliensis",0.01172,0.08366,0.05024,0.19114,0,0,0.34117,0.14211,0.00859,0,0.04083,0,0.01644,0.06682,0.05517,0.11338,0.65705,0,0,0.56902,0.00522,0,0,0,0.02289,0.22409,0.70021,0,1.01758,0.05615,0,0.13786,0.05044,0.00425,0,0.05032,0,0.01144,0,0,0,0.08888,0,1.08134,0.0073,0,0.93052,0.00099,0.0035,0.12171,0.09916,0.28572
"[Clostridium] leptum",0.00776,2.25516,0.58703,1.35703,0.02875,0.03641,0.18051,0.08058,0.90612,0.07558,0.07668,0,1.0757,0.21965,0.01352,0.2712,0.00581,0.00503,0.00329,0.02543,0.00951,0,0.00326,0.0884,0.00099,0.00746,0.01633,0.00042,0,0.39149,0.23,0.50224,0.91045,2.72862,0.00879,0.02544,0.01685,0.78656,0.56978,0.00042,0.11707,0.05611,0.00249,1.00274,0.05533,0.04021,0.21882,0.1986,0.09483,0.02449,2.12305,0.03943
"Veillonella infantium",0,0.06256,0,0,0,0.03503,0,0,0,0.00442,0,0.00185,0,0,0,0,0,0.00078,0,0,0,0.17405,0,0,0,0,0,0.12426,0,0,0,0,0.00517,0.01475,0,0.01351,0,0.00427,0,0,0,0,0.00317,0,0.00265,0,0,0,0,0,0,0
"Veillonella atypica",0,0.05512,0,0.00086,0.3182,0.05668,0.01661,0,0,0.00497,0,0,0,0.01017,0,0,0.0044,0.04215,0,0,0,1.39844,0,0,0,0.00593,0,0.41814,0.03898,0.00847,0,0,0.00722,0.02907,0,0.06366,0,0.03036,0,0.01976,0,0,0.02809,0.03601,0.02839,0.01095,0,0,0,0,0.00535,0
"[Clostridium] symbiosum",0.01246,0,0.12284,0.06787,0,0,0.03842,0.07699,0.00691,0,0.0113,0.13637,0.00026,0.03984,0.26036,0.0506,0.42632,0,0,0.07348,0,0,0.00729,0.05613,0.11277,0.06268,0.39385,0.01645,3.10483,0.00519,0.19967,0,0.05943,0.17073,0,0.00513,0.02716,0.0153,0.23572,0.17294,0,0.00132,0.00354,0.07495,0.12266,0.00317,0.01215,0,0.02698,0.01275,0.15947,0.01571
"Turicimonas muris",0.00484,0,0,0,0.00916,0,0,0.00049,0.00168,0,0.00387,0.02684,0.01112,0,0.0217,0,0.00909,0,0.01598,0,0,0,0,0,0.01573,0,0,0,0,0.02441,0.01589,0.0077,0.00051,0,0,0.06914,0,0,0.00996,0,0,0.02035,0,0,0.0405,0.00149,0,0,0.0651,0.0091,0,0
"Clostridium bolteae CAG:59",0.00101,0.00065,0.0128,0,0,0,0,0.19539,0,0,0,0,0.00582,0,0.00024,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01452,0,0,0,0,0.00021,0,0,0,0,0.00816,0,0,0,0,0,0,0.00772,0.00168,0.04506,0
"Gordonibacter pamelaeae",0.00751,0.02354,0.06878,0.49933,0.00495,0,0.00755,0.07129,0.00728,0,0.02362,0.10637,0.01061,0.00531,0.09078,0.04524,0.01832,0,0,0.03668,0.0021,0,0,0.03144,0.04091,0.00286,0.02676,0,0.17675,0.00081,0.00698,0.00937,0.08364,0.09022,0,0.07768,0,0.01171,0.34636,0,0.00127,0.00966,0.00447,0.04883,0.02348,0.00376,0.0365,0,0.08012,0.04342,0.1444,0.04945
"Lawsonibacter asaccharolyticus",0.05523,0.0128,0.17075,0.54595,0.18112,0.02017,0.06723,0.03441,0.96945,0.01571,0.44098,0.00675,0.19522,0.04594,0.06356,0.15733,0.03371,0.05267,0.02385,9e-04,0.04258,0,0.0567,0.0968,0.16902,0.04771,0.04099,0.00704,0.039,0.03032,0.01159,0.05478,0.01575,0.06404,0.18105,0.01622,0.07115,0.05603,0.0427,0.01997,0.00141,0.01699,0.01462,0.04921,0.2084,0.06589,0.03411,0.12765,3.48386,0.02832,0.01952,0.17762
"Firmicutes bacterium CAG:238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01947,0,0.29455,0,0.02188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides fragilis",0.31331,1.14077,0.00265,0.85732,0.09552,0.03382,2.34811,5.65607,0.06017,0.21824,2.46649,0.55754,0.19204,0.36668,1.23828,0.9789,2.03524,0,0.01402,0.03278,0.2263,0,0.48867,0.52909,3.53815,0.2434,30.05508,0.59161,0.00677,0,23.60157,1.20097,1.5261,2.67623,1.21669,15.27499,3.43078,0.16319,0.146,0.65215,0.0304,0.78445,1.33211,0,0.85919,0.07334,0.61256,0,0.60289,3.00549,36.19181,0
"Streptococcus vestibularis",0.00411,0,0,0,0.69811,0.03787,0,0.00593,0,0,0,0,0,0,0,0.001,0,0.03664,0,0,0,0,0,0,0.00483,0.05489,0,1.38631,0.03128,0,0,0,0,0.00611,0,0.01542,0,0.00532,0.07983,0,0,0,0,0,0.00483,0,0.00108,0.00146,0,0.01595,0,0
"Firmicutes bacterium CAG:145",0.05167,0,0.00419,0.03729,0.01364,0.00168,0,0.05722,0,0.00056,0,0,0.01545,0,0,0,0,0.01075,0,0,0,0,0,0.05481,0,0.04824,2.01621,0.00702,0,0.00445,0,0,0,0.65728,0,0.04257,0.00785,0,0.17711,0.00148,0,0.02305,0.01517,0,0,0,0,0.0171,0,0,0,0
"Lachnoclostridium sp. An138",0,0,0,0,0,0,0,0.00145,0,0,0,0,0,0.00529,0,0.05769,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,0,0,0,0,0,0.00777,0,0,0.01996,0,0.0196,0.00672,0,0
"Veillonella sp. T11011-6",0,0.0061,0,0,0,0.0307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07425,0,0,0,0,0,0.00937,0,0,0,0,0,0.00174,0,0.0442,0,0.00156,0,0,0,0,0,0,0.00157,0,0,0,0,0,0,0
"Intestinibacter bartlettii",0,0.01816,0.01774,0,0.47811,0,0.0954,0.00066,0,0,0,0,0,0,0,0.04482,0,0,0.00667,0.24062,0.01295,0,0.10369,0.00963,0,0.01349,0,0,0.03003,0,0,0,0.18991,0.05129,0,0.23013,0,0.00815,0,0,0.02482,0,0.06609,0.16367,0.01403,0.06996,0.01435,0,0.02512,0,0.10902,0
"Ruminococcaceae bacterium D5",0.00564,0,0.00183,0.30461,0,0,0,0,0,0.00259,0.00086,0,0,0,0,0.00181,0,0.00498,0.009,0,0.00616,0,0.04892,0.30183,0,0,0,0,0,0,0.01764,0.18323,0,0.00157,0.00139,0,0,0,0.54817,0,0,0.01338,0.0127,0,0,0.00457,0,0.02145,0,0.03133,0.24734,0
"Turicibacter sanguinis",0,0.01123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396,0,0,0,0,0,5.86117,0.0246,0.0037,0.00673,0,0,0,0,0,0,0,0,0,0,0.08549,0,0,0.00177,0,0,0,0,0.01063,0,0.09256,0,0,0.00627,0,0,0
"Actinomyces sp. HPA0247",0,0,6e-04,0.01607,0,0,0.00118,0.005,0,0,0,0,0.00015,0,0,0,0,0.00128,0,0,0,0,0,0,0,0.01759,0,0.00284,0,0,0,0,0.00515,0.05716,0.00156,0,0,0,0,0,0,0,0,0,0.00288,0,0,0.00075,0,0,0.00031,0
"Bacteroides galacturonicus",0,0,0.00452,0,0.0017,0,0,0.2988,0,0.01182,0,0,0.00597,0,0,0,0,0,0.57435,0,0.17667,0,0,0,0,0,0,0.0403,0,0.02893,0,0.14936,0,0,0,0.79625,0,0.52912,0.00182,0,0.07029,0,0,0.71457,0,0.00251,0.04129,0,0.02396,0.014,0,0
"Adlercreutzia caecimuris",0.00141,0.00036,0.00373,0.00744,0,0,0.00396,0.00245,0,0,0.00024,0.00173,0.00082,0.00087,0.00242,0.00223,0,0,0,0,0.00071,0,0,0.00152,0,0.00129,0.00935,0,0.00065,0.00066,0,0,0.00146,0.0072,0.00137,0.0082,0,0.00302,0.00843,0,0,0.00031,0.01671,0.0031,0.00283,0,0.00093,0,0.00541,0.00156,0.00444,0.00047
"Anaerotruncus colihominis",0.00201,0.00101,0.03984,0.0126,0.00614,0,0.08283,0.08285,0.05982,0.00052,0,0.00863,0.0031,0.00964,0.00656,0.15116,0,0,0,0.01844,0,0,0,0.06043,0.00584,0.00242,0.01414,0,0,0.00852,0.00578,0.02539,0,0.47721,0.02695,0.00489,0.00124,0.01223,0.06112,0.02522,0,0.03696,0,0.18376,0.00694,0,0.26664,0.03602,0.04325,0.02729,0.38019,0.02876
"Gemella sanguinis",0,0.00807,0.00348,0.02624,0,0.01177,0.00311,0,0.00575,0,0,0,0.00378,0,0.00081,0.00408,0,0.00941,0.00176,0,0,0.06365,0.00249,0,0,0.00793,0,0.05919,0.00388,0.00062,0,0,0,0.03104,0,0,0,0,0.02616,0,0.00339,0,0,0.01129,0,0,0,0,0,0.00768,0,0.00211
"Enorma massiliensis",0,0,0,0,0.00019,0.00145,0.37467,0.00119,0,0.00112,0,0,0.00174,0.00295,0.00167,0,0.00053,0.00229,0,0,0.00223,0,0.00111,0,0,0.00302,0,0.00281,0,0,0,0.06359,0,0.00366,0.01334,0,0.00075,0,0.00265,0,0.00274,0,0.00221,0,0.00118,0.01286,0,0,0.00271,0.00116,0,0
"Oscillibacter sp. PC13",0.0026,0,0,0,0,0,0,0,0,0.00624,0,0,0.00226,0,0.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,0,0,0.00042,0,0.00291,0,0.00029,0,0,0,0,0.00361,0,0,0,0,0,0,0,0,0,0
"[Eubacterium] siraeum",0.00027,0,3.23178,0.98747,0.01394,0.00556,0.03142,0,0.13672,0.18007,2.03489,0.37555,0.0702,9.92805,0.34929,1.09946,0.02864,0.00533,0.12348,5.651,19.13159,0.04198,0.41228,0.02139,0,0,0.16822,0.01652,0.01677,4.07957,2.5269,6.97622,0.01852,0.71815,9.59213,0,0.41182,0,0.25278,0,0.55253,0,0.47578,0.04629,0.07823,2.80076,0,5.17644,0.00049,1e-04,0,0
"Prevotella copri",0,0.00014,1e-04,0.00331,0.00153,37.89552,0.0011,0.00125,0.0056,53.29247,0.00203,0.053,0.00165,27.16956,0.00202,0,0.02971,21.02425,0.00119,0,0.00096,0.09618,24.88205,0.00264,0,0.00188,0.00531,0,0.06022,0,0.04711,0.00367,11.09924,0.00096,6.99215,0.00144,0.0036,26.02331,0.00571,0,23.01511,0.00121,0.00184,0.03279,0.02305,0.00705,0.00186,10.47203,0,0.00064,0.0065,0
"[Eubacterium] rectale",6.40443,22.37263,6.26088,0.53918,5.26079,1.66967,0.0046,7.03733,0.62122,1.00812,1.12705,9.83152,1.18758,1.08678,11.07279,0.01871,0.00607,0.65594,1.83919,0.00247,4.28174,0.0288,4.3668,0.04998,8.44935,3.85352,0.00155,1.8968,0.01371,5.47935,0.00464,7.81412,0.47276,0.00325,6.40088,7.63848,1.53543,6.32858,0.39982,0.00208,6.67101,1.95003,4.45255,7.25188,0.08516,0.12868,2.02637,5.18867,1.3456,4.31251,9e-04,8.73339
"Actinomyces sp. oral taxon 181",0,0,0.00155,0,0,0.00329,0.00073,0,0,0,0,0,0,0.00283,0,0,0,0.00197,0,0,0,0.04468,0,0,0,0.00671,0,0.02796,2e-04,0,0,0,0,0.00708,0,0,0,0,0,0,0,0.00088,0,0,0.00034,0,0,0,0,0,0,0
"Ruminococcaceae bacterium D16",0,0,0,0.00064,0.03395,0,0,0.00345,0,0,0,0,0,0,0.03602,0,0,0,0.00442,0,0,0,0,0,0.04415,0,0,0,0,0.11322,0,0,0,0.1146,0,0,0,0,0,0.0015,0,0,0,0.01131,0,0.00603,0,0,0,0.04586,0.03125,0
"Collinsella intestinalis",0.00194,0.28327,0,0.00074,0.00244,0.00289,0,0.00459,0.91078,0.00311,0,0,0.00634,0.00376,0.00214,0.0028,0.27957,0.00201,0.00224,0,0.0089,0,0.00282,0,0,0.02428,0,0.00777,0,0.00026,0.00038,0.72251,0.00037,0.00431,0.01218,0,0.00642,0.00394,0.01129,0.00043,0.0724,0.00146,0.00449,0,0.56597,0.00308,0,0,0.07403,0.00511,0,0
"Slackia isoflavoniconvertens",0,0.13579,0,0.00186,0,0.24329,0,0,0,0.21379,0,0,0.00114,0,0,0.287,0,0.40807,0,0,0,0,0.10005,0,0,0.31208,0,0.08613,0,0,0,0,0,0,0.67058,0,0.10062,0.34422,0.91629,0.52543,0.07,0.08576,0,0,0,0.04116,0,0.05949,0.00268,0,0,0
"Enterocloster aldenensis",0,0,0,0.05502,0,0,0,0.00107,0.00106,0,0.01073,0,0.002,0.00441,0.01077,0.05549,0.00103,0,0,0.06221,0,0,0,0.01798,0.02205,0.00779,0,0,0.14226,0,0.02986,0.00925,0.00062,0.00249,0,0.00031,0,0,0.02257,0.02382,0,0.00375,0,0.0547,0.00734,0,0.03461,0,0,0,0.01103,0.00043
