"","SKST006_6_G102964","SKST006_7_G102965","SKST006_4_G102962","SKST006_5_G102963","SKST006_2_G102960","SKST006_3_G102961","SKST006_1_G102959","SKST006_9_G103014","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST027_11_G102996","SKST027_12_G103011","SKST027_1_G102984","SKST027_2_G102985","SKST032_1_G102943","SKST032_2_G102946","SKST014_3_G102978","SKST014_2_G102977","SKST014_5_G102980","SKST014_4_G102979","SKST014_7_G102940","SKST014_6_G102951","SKST014_1_G102976","SKST032_4_G103008","SKST032_3_G102989","SKST032_5_G103024","SKST027_10_G102936","SKST025_9_G103021","SKST025_2_G102986","SKST025_1_G102983","SKST025_6_G103010","SKST025_5_G103006","SKST025_4_G102939","SKST025_3_G102942","p8883_mo6","p8646_mo8","p8646_mo9","p8646_mo6","p8646_mo7","p8649_mo11","p8649_mo12","p8649_mo1","p8649_mo10","p8649_mo2","p8649_mo3","p8582_mo5","p8582_mo7","p8582_mo6","p8646_mo3","p8646_mo2","p8646_mo12","p8646_mo11","p8646_mo10","p8646_mo1","p8600_mo9","p8600_mo8","p8646_mo5","p8646_mo4","p8808_mo7","p8808_mo6","p8808_mo9","p8808_mo8","p8808_mo12","p8808_mo11","p8883_mo2","p8808_mo4","p8816_mo10","p8816_mo1","p8883_mo3","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8775_mo7","p8775_mo8","p8775_mo5","p8775_mo6","p8775_mo3","p8775_mo4","p8775_mo12","p8775_mo2","p8775_mo9","p8808_mo10","p8816_mo8","p8816_mo9","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8585_mo9","p8585_mo8","p8585_mo4","p8585_mo3","p8585_mo7","p8585_mo6","p8582_mo9","p8582_mo8","p8585_mo2","p8585_mo1","p8883_mo12","p8883_mo11","p8855_mo3","p8855_mo12","p8855_mo11","p8855_mo10","p8883_mo10","p8855_mo9","p8855_mo8","p8855_mo4","p8808_mo5","p8883_mo9","p9061_mo1","p8883_mo7","p8883_mo8","p8883_mo4","p8582_mo11","p8582_mo10","p8582_mo1","p9061_mo2","p9061_mo3","p8775_mo11","p8775_mo10","p8748_mo6","p8748_mo5","p8748_mo4","p8748_mo12","p8775_mo1","p8748_mo9","p8748_mo8","p8748_mo7","p9193_mo1","p9061_mo8","p9193_mo4","p9193_mo2","p9061_mo5","p9061_mo4","p9061_mo7","p9061_mo6","p9193_mo6","p9193_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8748_mo10","p8748_mo11","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p8649_mo5","p8649_mo4","p8649_mo7","p8649_mo6","p8649_mo9","p8649_mo8","p8712_mo10","p8712_mo1","p8712_mo12","p8712_mo11","p8582_mo4","p8582_mo3","p8582_mo2","p8582_mo12"
"Parvimonas micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25266,0.21345,1.18171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium disporicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00893,0,0,0,0.01174,0,0,0,0,0.00991,0.10828,0.00257,0,0,0,0,0.00408,0.3255,0,0,0,0,0,0,0,0.09376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25362,0.1519,0.25694,0.18513,0.03581,0.10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0,0,0,0,0,0,0,0,0,0,0.05558,0,0,0,0,0.02151,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10768,0,0.00393,0,0,0.00173,0,0,0,0.04906,0,0,0,0,0,0,0,0.88017,0.06035,0.05159,0.00215,0.2893,0,0.02979,0,0.04017,0,0,0,0.02905,0,0,0.00663,0,0.01126,0,0,0,0,0,0.05012,0,0.03189,0,0,0.45996,0,0,0,0,0,0
"Bacteroides nordii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00381,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0.00373,0.00502,0,0,0,0.01901,0,0.00045,0.01387,0,0,0,0.00289,0.06741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterocloster asparagiformis",0,0,0,0,0,0,0,0,0,0.02958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01278,0.00673,0,0.02104,0,0,0,0,0,0,0,0,0.02226,0.02242,0,0.00775,0.01668,0.01833,0.02057,0.02075,0,0.01891,0.02598,0.0015,0.00485,0.00725,0.00043,0.01689,0.02294,0.02001,0.01372,0,0.01194,0.00253,0,0.02004,0.0523,0.01682,0.02232,0.01942,0.01601,0.00679,0.00857,0.00642,0.02168,0.00947,0.03122,0,0,0.0772,0.04356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00897,0.00741,0,0.00607,0.03189,0.00548,0,0,0,0,0.03461,0,0,0,0,0,0.00078,0.07003,0.02609,0.01297,0.00513,0.03594,0.03784,0.04282,0.10451,0.00487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01638,0.03881,0.01079,0.00682,0,0,0,0
"Candidatus Stoquefichus sp. KLE1796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1096,0,0,0,0,0,0,0,0,0,0,0,0,0.11443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63093,0.70839,0,0.34426,0.00949,0.10963,0.20725,0.82956,0.19622,0.9413,0.12016,0.18094,0,0,0.58847,0,0.79626,0.18604,0.32573,0,0,4.76505,3.0579,3.64983,0.93226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,0.0047,0,0,0.00617,0.0355,0,0,0,0,0,0,0,0,0,0,0.26121,0,0.0255,0,0.70006,0.04595,0,0.42248,0.5186,0.03995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01045,0.01289,0.00042,0.00404,0.00612,0.02122,0.20901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43392,0,0,0,0,0,0
"Pediococcus pentosaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium sp. CAG:274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553,0,0,0.19856,1.52492,0,0,0.0531,0.00971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28533,0,0.18846,0.20249,0.04472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23537,0.52954,0,0,0,0,0,0,0.06348,0.41897,0.12264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium callanderi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01124,0.00635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347,0,0,0,0,0,0,0,0,0
"Sellimonas intestinalis",0,0,0,0,0,0,0,0,0,0.85624,0,0,0,0,0,0,0,0,0,0,0,0,0.02452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261,0.18583,0.68428,0.01028,0.34691,0,0,0,0,0,0,0,0,0,0.07199,0.0546,0.3455,0.24111,0.52445,0.08683,0.3751,0.20092,0.20154,0.23397,0.04319,0,0.04803,0.13736,0.24131,0,0.02578,0,0,0.01724,0,0.61736,0.11402,0.28548,0.10091,0.51561,0.57735,1.05668,0.53391,0.3062,0.30513,0,0,0.01283,0,0.00937,0.0201,0,0.00214,0,0,0,0,0,0,0.00245,0.00915,0,0,0,0,0,0,0,0,0,0.00509,0,0,0,0,0,0.00293,0,0.52699,1.2114,0.49744,0,2.12456,0.85272,0,0,0,0,0.0044,0,0,0,0,0,0,0,0,0,0.06355,0.05815,0.02625,0,0,0.02015,0.02709,0.01957,0,0,0,0,0,0,0,0,0,0,1.49306,0.6354,1.04116,0.29447,0.13643,0.31737,0.31579,0.71131,0.01695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342,0.40544,0.25016,0.39185,0.10439,0,0,0,0
"Latilactobacillus curvatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03678,0,0,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06171,0,0,0.36448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptacetobacter hiranonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium dolichum CAG:375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0.02536,0,0,0.00232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amedibacillus dolichus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00254,0.01596,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacterium divergens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus xylosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia sp. HMSC24B09",0,0,0,0,0,0,0,0,0,0,0,1.33396,0.00091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia defectiva",0,0,0,0,0,0,0,0,0,0,0,0.79811,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Weissella confusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13748,0,0,0,0,0,0,0.0021,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyzzerella nexilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00563,0.002,0.00935,0,0,0.00112,0,0,0.00655,0,0,0.00504,0,0,0,0,0,0,0.00219,0,0,0,0,0.03459,0.01118,0,0.01311,0.07664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0.00321,0.00029,0,0,0,0,0,0,0,0,0.00678,0,0,0,0,0,0
"[Clostridium] methylpentosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236,0,0,0,0,0,0,0,0,0.00163,0.00849,0,0,0,0,0,0,0,0,0,0.0059,0.00716,0,0,0,0,0,0,0,0,0,0,0,0,0.01297,0,0.00962,0,0,0,0,0,0,0,0.01469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00855,0.00499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581,0.00566,0.00285,0,0.0045,0,0,0,0,0,0,0,0
"Eubacterium sp. OM08-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pantoea dispersa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Kluyvera] intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus parahaemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus eutactus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249,0.00024,0.00033,0.00082,0,0.00069,0.00144,0.00057,0.00049,0,0,0,0,0,0,0,0,0,0,0,0.71199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00916,0.00131,0,0,0,7.27072,0.00042,3.53573,0.09851,0.82551,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98407,8.94769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes inops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19712,0,0.20458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92018,5.84574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08721,5.01741,3.83139,3.58711,1.86549,0.56991,2.27314,6.49459,0.06606,7.57573,0.31521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25846,0,1.2809,0.61864,0,0,0,0,0.58776,1.54123,0,0,0,0,0,0,0,0,0,0,0.43475,0,0,0,0,0,0,0,0,0,0,0,0,0.37123,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16742,0.12886,0.59414,0.24349,0.47924,0,0,0,0,0,0,0,0,0,0.18029,0.23975,0.35677,0.47637,0.34613,0,0,0,0.24002,0,0,0,0,0,0,0,0.23416,0,0,0,0.01089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06762,0,0,0,0,0,0,0,0,0,0.03174,0.1721,0,0,0,0,0,0,0,0,0,0.13062,0,0.01162,0.01903,0.07425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08847,0,0.0237,0.29946,0,0,0,0,0,0.00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732,0,0,0,0,0,0
