"","O2_UC1_0","O2_UC1_2","O2_UC11_0","O2_UC11_2","O2_UC12_0","O2_UC12_2","O2_UC13_0","O2_UC13_2","O2_UC14_0","O2_UC14_2","O2_UC16_0","O2_UC16_2","O2_UC17_0","O2_UC17_2","O2_UC18_0","O2_UC18_2","O2_UC19_0","O2_UC19_2","O2_UC2_0","O2_UC2_2","O2_UC20_0","O2_UC20_2","O2_UC21_0","O2_UC21_2","O2_UC22_0","O2_UC22_2","O2_UC23_0","O2_UC23_2","O2_UC24_0","O2_UC24_2","O2_UC26_0","O2_UC26_2","O2_UC27_0","O2_UC27_2","O2_UC29_0","O2_UC29_2","O2_UC3_0","O2_UC3_2","O2_UC30_0","O2_UC30_2","O2_UC31_0","O2_UC31_2","O2_UC32_0","O2_UC32_2","O2_UC34_0","O2_UC34_2","O2_UC35_0","O2_UC35_2","O2_UC36_2","O2_UC37_0","O2_UC37_2","O2_UC38_0","O2_UC38_2","O2_UC4_0","O2_UC4_2","O2_UC40_0","O2_UC40_2","O2_UC41_0","O2_UC41_2","O2_UC43_0","O2_UC43_2","O2_UC44_0","O2_UC44_2","O2_UC46_0","O2_UC46_2","O2_UC47_0","O2_UC47_2","O2_UC48_0","O2_UC48_2","O2_UC5_0","O2_UC5_2","O2_UC9_0","O2_UC9_2","V1_CD1_0","V1_CD10_0","V1_CD12_0","V1_CD15_0","V1_CD15_3","V1_CD17_0","V1_CD17_4","V1_CD18_0","V1_CD18_3","V1_CD20_4","V1_CD21_0","V1_CD21_4","V1_CD25_0","V1_CD25_4","V1_CD35_0","V1_CD35_1","V1_CD41_0","V1_CD6_0","V1_CD6_4","V1_CD7_0","V1_CD7_4","V1_UC1_0","V1_UC10_0","V1_UC10_2","V1_UC11_0","V1_UC11_5","V1_UC12_0","V1_UC12_4","V1_UC13_0","V1_UC13_3","V1_UC14_0","V1_UC14_1","V1_UC15_0","V1_UC15_3","V1_UC17_0","V1_UC17_2","V1_UC2_0","V1_UC2_4","V1_UC21_0","V1_UC21_4","V1_UC23_0","V1_UC23_1","V1_UC25_0","V1_UC25_1","V1_UC26_0","V1_UC26_4","V1_UC3_0","V1_UC3_2","V1_UC31_0","V1_UC31_4","V1_UC35_0","V1_UC35_4","V1_UC38_0","V1_UC39_0","V1_UC4_0","V1_UC4_5","V1_UC40_0","V1_UC45_0","V1_UC47_0","V1_UC49_0","V1_UC49_1","V1_UC5_0","V1_UC5_3","V1_UC50_1","V1_UC51_0","V1_UC51_4","V1_UC52_0","V1_UC52_1","V1_UC53_0","V1_UC53_4","V1_UC54_0","V1_UC55_0","V1_UC55_4","V1_UC56_0","V1_UC58_0"
"Atopobium deltae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00863,0.01161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella morbillorum",0,0.00841,0,0,0,0,0,0,0,0,0,0,0,0.00481,0,0,0,0,0,0,0,0,0,0,0,0,0.12259,0,0,0,0,0,0,0,0,0,0.00231,0,0.00737,0.00319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00735,0.02756,0,0.00042,0,0.00576,0,0,0,0,0,0,0,0,0.00161,0.00442,0,0,0.00101,0.02234,0,0.00051,0.07485,0,0,0,0,0,0,0,0,0.05241,0.13683,0,0.02849,0,0,0,0,0,0,0.00041,0,0,0,0,0
"Prevotella sp. CAG:617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59859,3.86522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium succinatutens",0,0,0,0,3.68719,4.62669,0,0,0,0,2.16821,3.39619,2.11545,2.70235,3.35341,4.25249,0,0,0.23463,0.95169,0,0,0,0,0,0,0,0,0.06318,0.43513,1.38989,0.91398,0,0,3.39968,4.20929,0,0,0,0,0,0,1.36657,1.36314,0,0,0,0,0,0,0,1.66707,1.9273,0,0,0.8625,1.51844,0,0,5.70977,3.46328,0.05152,0.00373,0,0,0,0,0,0,0,0,0,0.02498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65491,1.32841,0,0,0.00341,0,0,0,0,0,1.03671,1.81042,0,0,1.0305,1.47452,0,0,0,0,1.96558,1.54894,0,0,0,0,0,0,0,0,0,0,0,0.70835,0,0,0,0,0,0,0,0,5.49004,3.99534,0.00247,0,0,0,0
"Prevotella sp. CAG:279",5.57961,3.34734,0,0,0.867,1.73103,1.78956,3.22898,0,0,0.23486,0.3126,0,0,4.65774,10.18554,0,0,1.91037,4.53978,0,0,0,0,0,0,0,0,0.29639,0.36459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41163,0.29938,0.55877,2.44324,0.89614,0.95004,0,0,0,0.09757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8615,0,0,0,0.15473,1.00985,0,0,0,0,0,0,0,0,0,0,0.22062,0.25063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3849,0.42428,0.74414,0.02236,0.15164,0,0
"Megasphaera elsdenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02915,0.22558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola coprophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01295,0.60558,0.14905,0.16641,0,0,1.91895,1.37266,0,0,0,0,0,0,0.29153,0.39945,2.06257,3.6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15996,0,0,0.42455,1.99504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23247,0.70241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07446,0.41098,0,0
"Bacteroides sp. CAG:462",0,0,0,0,0,0,0,0,0,0,0,0.18459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20172,0.54751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03386,0.09423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella jalaludinii",0,0,0.1067,0.43622,0.01059,0.0285,0.40987,0.64833,0,0,0,0.00875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocystis sp. subtype 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35728,0.48633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06435,0.22542,0.4878,0,0,0,0,0,0,0
"Clostridium sp. CAG:413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83657,5.87503,0,0,0,0,7.63116,9.43344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52879,0,0,0,0,0.01382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0,0,0,0
"Mitsuokella multacida",0,0,0,0.0226,0,0.02519,0,0.01265,0,0,0,0.01696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides cellulosilyticus",0,0,0,0.00477,0,0,0.00897,0.05093,0,0.15471,0,0.01016,0,0,0.01847,0.02656,0,0,0.19475,0.42419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632,0,0,0,0,0,0,0,0,0.80474,0.98578,0,0,0,0,0,0,0,2.11785,3.59157,0,0,0.02759,0,0.10168,0.01133,0.03251,0.05692,0.25205,0.46626,0.3625,0.78716,0.06041,0.01419,0.06306,0.53837,0,0,6.58885,0,0,0,0.06335,0,0,0.05061,0,0,0,0,0,0,0,0,0,0.11906,0,23.85587,2.15274,0.85621,0,0,0.06751,0.00497,0,0,0,0.00074,0,0,0.39601,0.1727,1.33901,0.41969,0.2998,0.04235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08027,0,0,0.52999,0.73745,0.19158,0.39566,0.43374,0.07393,0.00177,0,0,0,0,0.01859,0.00188,0.03009,0.04859,0.00369,0,0
"Kouleothrix aurantiaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp. CAG:530",2.07915,1.80733,0,0,0,0,5.48274,4.93047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44718,1.22949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43166,1.2265,0,0,0,0,0
"Ruminococcus sp. CAG:488",2.69051,2.97121,0,0,0,0,0,0,0,0,0.43246,0.16312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651,0,0,0.00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23579,0.21196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0.05545,0,0,0,0,0,0,0
"Roseburia sp. CAG:303",0,0,0,0,0,0,0,0.18212,0,0,0,0,0,0,0,0.17889,0,0,0,0,0.20186,0,0,0,0.05456,0.00648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2305,0.35834,0,0,0,0,0.05434,0,1.09433,0,0,0,0.00393,0,0,0.02476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84378,0,0.0887,0,0,0,0.20571,0.74293,0,0,0,0,1.71558,0.06493,0,0,0
"Prevotella disiens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879,0,0,0,0,0,0,0,0,0,0,0.05837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01527,0,0,0,0.00669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella corporis",0,0.18522,0,0,0,0,0,0,0,0,0,0,0,0,0.00391,0,0,0,0,0,0,0,0,0,0,0.00332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03846,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01666,0,0
"Alistipes onderdonkii",0,0,0,0,0,0,0,0,0,0.00945,0,0,0,0,0,0,0,0,0,0,0,0.04053,0,0.01895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02069,0.02905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988,0,0,0,0,0,0.02684,0,0,0,0,0.00103,0,0,0,0,0,0,0,0,0,0.00566,0.01256,0.05099,0,0,0,0,0,0,0,0,0,0.00051,0,0,0,0,0,0,0,0,0,0,0,0.00163,0,0,0,0,0,0,0.07233,0.14045,0,0,0,5e-04,0,0.00814,0,0.06968,0.23441,0.00482,0.01437,0,0,0.03951,0.0171,0.00862,0,0,0,0,0,0,0
"Anaerotruncus sp. CAG:528",0.90581,1.49186,0,0,0,0,0,0,5.24808,1.66313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01001
"Acidaminococcus sp. CAG:542",0,0,0.37727,1.4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24195,0.10806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54218,2.55402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium sp. CAG:58",0,0.15676,0,0.00663,0.0709,0.05149,0,0,0,0.11561,0,0.01411,0,0,0,0,0,0.07884,0.02228,0,0,0,0,2e-04,0.05577,0.13408,0.03818,0.01671,0,0,0,0,0,0,0,0.00077,0.31278,0.19195,0.05196,0.125,0.0289,0,0.11265,0.04583,0,0,0.08183,0.1876,0,0,0,0.09523,0.09273,0,0.08024,0.11263,0.11766,0.06276,0.11675,0,0,0.02634,0.07466,0.42292,0.12134,0,0,0.16847,0.63665,0,0,0.00843,0,0.01775,0,0,0.12111,0.45853,0.68469,0.98713,0,0,0.24111,0.36433,0.72494,0.0263,0.45035,0,0,0,0.25412,0.60467,0,0.11365,0.09948,0,0.00537,2.98379,1.51887,0.01051,0.00033,0,0.21807,0,0,0,0,0,0.01565,0.25168,0.1809,0.00821,0.08349,9e-04,0,0.19622,0.57816,0,0,0,0,1.09766,0.28122,0.18286,0.09689,0,0.03679,0.25087,0.91623,0.10206,0.10481,0.59933,0.04706,0,0.16878,0.62887,0.02534,0.04255,0.18978,0.05085,0.15499,0,0,0.76688,0.28138,0.37323,0,0.35859
"Hafnia alvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04411,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus sp. CAG:330",0,0.19402,0,0,0,0,0.07058,0.23897,0,0,0,0,0,0.00512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82205,2.13252,0,0,0.01865,0,0,0,0,0,0,0,0.12706,0.78782,0,0.10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96389,0,0,0,0,0.69455,0,0,0,0,0,0,0,0,0,1.87002,0,0,0
"Acidaminococcus fermentans",0,0,0,0.04839,0,0,0,0,0,0,0,0.08181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0.00564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.01159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03613,0.05574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium] spiroforme",0,0.07903,0,0.01275,0,0,0,0,0,0,0,0,0,0.01231,0,0,0.02456,0.02597,0.09525,0.00838,0,0,0,0.0958,0,0,0,0,0,0,0,0,0.03657,0,0,0,0,0,0.23642,0.11953,0.00452,0.03362,0.05879,0.14132,0,0.06576,0.09954,0.09033,0.13864,0.0188,0.39493,0.00906,0.00637,0.78645,0.12874,0,0,0.04023,0.05331,0,0,0.03919,0,0,0,0,0,0.28784,0.00748,0,0.01738,0.11585,0.04706,0,0,0,0,0,0,0,0.09352,0,0,0.01016,0,0,0,0.00517,0.0035,0.00665,0,0,0,0,0.21859,0,0,0,0.06204,0.02519,0,0,0.09638,0,0,0.07856,0.12612,0,0.00029,0.0287,0.013,0,0,0.03417,0.02338,0,0.00214,0,0,0.03908,0,0.07259,0.02718,0.05604,0.04241,0.00911,0.001,0.08273,0,0.3586,0,0.09095,0.04729,0,0,0,0,0.04192,0.10376,0.05004,0.05576,0,0,0,0.38246,0.02059,0.0241,0
"Alistipes sp. An31A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10636,1.20985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12602,0.00195,0,0,0,0,0,0.00121,0,3.20777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05394,0,0,0,0,0,0,0,0,0,0,0
"Coprobacter secundus",0,0,0,0.01162,0,0,0,0.00287,0.00802,0.01839,0,0,0,0.00876,0,0.12896,0,0,0,0,0,0,0,0.2098,0,0,0.07811,0.04467,0,0,0,0,0,0,0,0,0.00616,0.04153,0,0,0.03851,0.02576,0,0,0.00643,0,0,0,0.00139,0,0,0.00689,0.00803,0.15245,0.24488,0,0.01862,0,0,0.01353,0.00922,0.10267,0.0389,0.02189,0.02195,0,0,0.01232,0.14054,0,0,0,0,0,0,0,0,0.12967,0.00679,0.00062,0,0,0.00587,0,0,0,0,0,0,0.07789,0,0.02901,0,0,0.04865,0,0,0.39078,0.29297,0.04469,0.03015,0,0,0,0,0,0,0,0,0.10492,0.01642,0,0,0.01981,0.02444,0,0,0,0,0,0,0.00802,0.01673,0,0,0,0.0101,0.00649,0.01845,0.00137,0,0,0.08423,0.08739,0,0,0,0,0,0,0,0.01555,0.00706,0.01189,0.00324,0.01806,0,0
"Anaerotruncus colihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20456,0,0,0,0.02968,0,0,0,0.02471,0.03033,0,0,0,0.00285,0,0,0,0,0,0.04773,0.08049,0,0,0,0,0,0,0,0,0,0,0,0.01635,0.00299,0.00388,0.00469,0,0.00648,0,0,0,0,0,0,0,0.00176,0.01921,0.05083,0.01785,0,0.00052,0.00244,0.05231,0,0,0.00271,0,0,0,0,0.00341,0,0,0,0,0.00505,0.0101,0,0.21036,0.1741,0.00365,0.03068,0,0,0.02057,0,0,0.13377,0,0,0.04177,0.14337,0.01522,0,0,0.07177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37432,0.00314,0.00827,0,0,0.00457,0.0039,0.06131,0.01785,0,0,0.02682,0.01691,0,0.00379,0.00914,0.00527,0.05907,0,0.04284,0,0.02608,0.02357,0.00214,0,0,0,0.06735,0.00339,0.0207,0,0.0029
"Eubacterium sp. CAG:786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyzzerella nexilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576,0.00663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294,0,0,0,0,0,0,0,0,0.00104,0.02753,0,0,0,0,0,0,0,0,0.00431,0,0,0,0,0,0,0,0,0,0,0.06823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus paraphrohaemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
