"","CCIS02379307ST-4-0","CCIS06260551ST-3-0","CCIS11015875ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS17669415ST-4-0","CCIS21278152ST-4-0","CCIS22416007ST-4-0","CCIS22958137ST-20-0","CCIS24254057ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS35100175ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS44757994ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS48725289ST-4-0","CCIS50148151ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS55230578ST-4-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS65479369ST-4-0","CCIS71301801ST-4-0","CCIS72607085ST-4-0","CCIS76845094ST-20-0","CCIS77252613ST-4-0","CCIS78318719ST-4-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87605453ST-4-0","CCIS91228662ST-4-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0"
"[Ruminococcus] gnavus",0.05671,0.37025,0,0.05159,0,0.20994,7.37406,0.33566,0,0.02152,0.00316,0,0,0.16847,0.00603,0,0.92675,0.03044,6.45881,0,0,1.61972,0.71885,0,0,6.0271,0,0.09622,0,0.00704,0.03321,0.0101,0.00364,0,0.1155,2.93905,0.04834,0,0.00243,0.1153,0.21816,0.0019,1.12991,0,0.2922,0.00081,0,0,0.44545,1.31349,0,2.89575,0
"Intestinibacter bartlettii",0.59844,0.00914,0,0,0.01569,0,0.08575,0.45152,0,0,0.00624,0.00229,0,0,0.01865,0.01334,0.11675,0,0,0,0,0.00039,0,0.05951,0.28002,0.14366,0.00446,1.0019,0.17836,0.00725,0.00033,0.00557,0.00207,0.08132,0,0,0,0,1.08878,0.08717,0.01817,0.05429,0,0,0,0.01932,0,0,0,0,0,0,0.01414
"Clostridium disporicum",0.05974,0.41535,0,0,0.02582,0,0.27484,0.08249,0,0,0.06033,0,0.06434,0,0.45789,0.24765,0.09104,0,0,0,0,0.21498,0,0,0.19375,0,0.00762,0.32271,0.36269,0,0,0.01648,0.27187,0,0,0,0,0,0.00163,0.01155,0,0,0.00411,0,0,0,0,0,0,0,0,0,0
"Firmicutes bacterium CAG:94",0,0.29817,0.00168,0,0.44419,0,0,0.31145,0.12291,0.1341,0,0,0.09809,0,0,0.11369,0,0,0.06361,0,0,0.16167,0,0,0,0,0.00375,0,0.00135,0.02361,0,0,0,0,0,0,0,0,0.03081,0.0122,0,0,0,0.16979,0,0,0.00582,1.30137,0,0,0,0,0.00033
"Dorea sp. CAG:317",0,0,0,0,0,0,0,0,0,0,0,0,0,0.15592,0,0,0.06972,0,0,0,0,0,0,0.01338,0,0,0.19925,0,0,0.06245,0,0,0,0.01422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90686,0
"Turicimonas muris",0,0,0,0,0.0042,0,0,0,0.01163,0.00636,0,0,0.00308,0,0,7e-04,0,0,0.00601,0.00734,0.00837,0,0,0,0.01288,0,0.01427,0,0.0029,0,0,0,0.00577,0.00339,0,0,0.00143,0,0,0.00218,0,0.01729,0.00474,0.00997,0,0,0,0.00891,0,0,0,0.00448,0
"Clostridium sp. CAG:242",0.42856,0,0,0,0.20644,1.45219,0,0,0,0,0,0,0,0.01542,0,0.03882,0,0,2.61382,0,0,0,0,0.18792,0,0,0.21522,0,0,0,0,0.00743,0,0.058,0,0,0,0,0,0,1.80593,0.61423,0,0.07609,0,0,0,0,0,0,0,0,0
"Lawsonibacter asaccharolyticus",0.00182,0,0.15076,0,0.06396,0,0,0.17454,0.15148,0.03184,0.00324,0.00569,0.00274,0.07494,0,0.04064,0,0.01319,0.40887,0.11214,0.31482,0.01611,0,0.02373,0,0.19142,0.18796,0,0.0037,0.01638,0,0.01121,0.02315,0.01617,0.04045,0.00265,0.13581,0.0861,0.10417,0.0773,0.07752,0.03127,0.01491,0.36723,0,0.05253,0.20474,0.38134,0.11856,0.01502,0.19174,0.00293,0.0144
"Phascolarctobacterium sp. CAG:266",0,1.65733,2.32713,0,0.22494,0,0,0.62022,0,0,0,0,0,0,0.00081,0,0,1.02788,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4347,1.0962,0,0,1.91859,0,0.39116
"Escherichia coli",0.22415,7.51109,2.9161,0,0.11283,0.35603,1.45999,0.42955,0.03395,0,0.52218,0.01586,0.46453,38.22945,0.07932,1.12799,0.00484,0,3.91197,0.23276,27.30854,2.32964,0.07818,0.22913,0,0,0.97013,0.18318,0.0532,3.29486,0.37695,0.00913,17.47603,1.51773,4.56552,0.34684,0,2.40173,0.80606,0.12008,0.34089,0.63179,0.00822,0.34133,0.18449,2.79213,0.25065,16.11359,0.18334,0,0.24763,2.12039,0.0073
"Anaeromassilibacillus sp. An250",0,0,0.01715,0,0.10306,0.00462,0,0.19333,0.03265,0,0,0,0.01277,0,0,0.06473,0,0.03138,0.115,0.001,0.03258,0,0,0.02069,0,0.00024,0,0,0.056,0.02251,0,0,0,0.0176,0,0,0.00356,0,0,0.08632,0.24491,0.0088,0,0.0395,0,0,0,0.70106,0,0,0,0,0.00128
"Butyricimonas synergistica",0,0.07468,0,0,0.1456,0.08089,0,0.10134,0.03415,0,0.01179,0.03129,0.03244,0,0.06605,0.00052,0.00666,0,0,0,0,0.01837,0,0,0.00823,0.00023,0.22424,0.1296,0.00582,0.02267,0,0,0.06869,0.04353,0.03647,0,0,0,0,0.00205,0.00135,0.07995,0.00568,0.01637,0,0.0424,0.1251,0,0,0,0.28631,0.00168,0.15703
"Proteobacteria bacterium CAG:139",0,0,0.00048,0,0.01663,0,0,0.00304,0.01006,0.01781,0,0,0.111,0,0.00085,0.00342,0,0,0.00298,0.021,0,0,0,0.01588,0.0307,0,0.94841,0,0.00254,0,0,0,0.00431,0.00279,0,0,0.01475,0.00436,0,0.00487,0,0.30489,0.13036,0.0291,0,0.00278,0.0049,0.01668,0,0,0,0.00098,0.00578
"Firmicutes bacterium CAG:170",0,0,0.21896,0,0,0,0,0,0.01719,0,0.00192,0,0,0,0,0,0,0,0,0,1.01451,0.00468,0,0,0.13447,0,0,0,0,0.07565,0,0.00018,0.0015,0.24299,0,0,0,0,0,0.07634,0,0.03545,0,0,0.27707,0,0,0,0,0,0.00119,0.20135,0.02874
"Gordonibacter pamelaeae",0,0,0.01166,0,0.17943,0.01325,0.00572,0.00573,0,0.00345,0,0.82084,0.01045,0,0.0074,0.01223,0,0.06781,0.0875,0.01848,0.01566,0.03345,0,0.04331,0.03689,0.15205,0.04246,0.00178,0.08329,0.00558,0.04898,0.07773,0.00091,0.00087,0.26579,0,0.00172,0.0234,0.06252,0.00119,0.00817,0.02639,0.07179,0.01095,0.01736,0.00017,0,0.04348,0.00125,0.02915,0,0.00305,0.00607
"Actinomyces sp. ICM47",0,0.00307,0,0,0,0,0,0.03204,0.00631,0.00069,0.00523,0.00049,0,0.01918,0.00559,0,0,0.01133,0.08053,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0.02086,0,0.01594,0,0,0,0,0.0091,0.01408,0.00766,0.00264,0,0.00188,0,0.00464,0,0,0,0,0,0
"Firmicutes bacterium CAG:83",0,0,0.26943,0,0.32911,0.04935,0,1.03997,0.00649,0.01035,0.40492,1.22943,0.0274,0.07151,0.41016,0,0.02279,0.28729,0,1.50327,0.02407,0,0,0.1736,0.12837,0.05328,0,5.25489,0.09312,0.14242,2.21543,0.04987,0.06501,0.02607,0,1.5076,0.09529,0,0,2.12341,1.27783,0.10613,0.26368,1.82376,0.36276,0,0.05273,0,9.2536,0.08861,0.42777,0.01562,0.01685
"Mogibacterium diversum",0,0.09537,0,0,0.07813,0.00293,0,0.18551,0.02645,0.00403,0.01653,0.00931,0.01638,0,0.05443,0.05993,0,0.02242,0.00545,0,0,0.04674,0,0,0.00154,0,0.00617,0.00871,0.04528,0.00267,0.13701,0.01973,0.0374,0.01446,0.02363,0,0,0,0,0.00254,0,0.01196,0.02995,0,0.01095,0.00385,0.02911,0,0,0,0,0,0.01108
"Eisenbergiella massiliensis",0,0,0,0,0,0.00843,0,0,0,0,0,1.40812,0,0.00869,0,0.00031,0,0.04879,0,0.01923,0.08841,0,0,0,0,0.04342,0.40654,0,0,0,0,0.0027,0,0,0.01915,0,0.14765,0,0,0,0.10923,0.00385,0,0.00356,0,0,0.00765,0,0.01792,0.18375,0,0.00858,0
"[Eubacterium] sulci",0,0.01727,0,0,0.01852,0,0,0.05817,0,0,0.00493,0,0,0,0,0.02311,0,0.0179,0.00287,0,0,0.01277,0,0,0,0,0,0,0,0,0.02276,0.01078,0.00855,0.00389,0.01309,0.0093,0,0,0,0,0,0.01625,0.0079,0,0,0,0,0,0,0,0,0,0
"Hafnia paralvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31429,0,0,0.05543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinimonas butyriciproducens",0,0,0.01734,0,0.3106,0,0,0,0.0033,0.0457,0.02089,0.00177,0.2768,0.06341,0,0.01393,0,0,0,0.04831,0.00645,0,0,0.11578,0,0.01179,0,0.01375,0,0.00377,0,0,0,0,0.02599,0,0.05066,0,0,0,0.049,0,0,0.00321,0.00078,0.28041,0.00265,1.15211,0.024,0.43403,0.01336,0.00726,0.01718
"Rothia mucilaginosa",0,0,0.00236,0,0,0.02391,0.00023,0.00917,0,0,0.00199,0.00402,0,0.02263,0.06978,0.00195,0.00775,0,0,0,0,0,0,0,0,0.02916,0.00033,0,0,0.00045,0,0.01372,0,0,0,0,0,0,0,0,0.01531,0,0,0,0,0,0,0.02708,0,0,0.00279,0,0
"Christensenella minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09337,0,0,0,0,0.05088,0,0.15138,0.00713,0,0,0,0,0.00687,0,0,0,0,0.00525,0.07713,0,0,0,0,0.00031,0,0,0.01427,0,0.11596,0.05164,0,0,0,0
"Gemella sanguinis",0,0,0.00352,0,0.00657,0.01267,0.04639,0.09411,0,0,0.0173,0,0.00685,0,0.04706,0.0211,0.03752,0.01722,0.00251,0,0,0.01005,0,0,0.03985,0,0,0,0.01325,0.00767,0.07617,0.03653,0.02549,0.00759,0.00886,0.02261,0,0,0.00283,0.06847,0,0.00292,0.09996,0,0,0,0.0205,0,0,0,0.00278,0.02582,0
"Alistipes sp. An66",0,0,0,0,0.00931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14117,0,0,0,0,0,0,0,0,0.08431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella atypica",0,0,0,0,0,0.08248,0.06628,0.01676,0,0,0.00998,0,0,0.66537,0.22362,0,0.01447,0.0014,0,0,0,0,0,0,0,0.10918,0.04959,0,0,0,0.01399,0,0,0,0,0,0,0,0,0,0.00539,0,0,0,0,0,0,0,0,0,0.08155,0,0
"Adlercreutzia caecimuris",0,0,7e-04,0,0.00622,0,0,0,0,0.00102,0,0.00752,0.00075,0.00031,0,0,0,0.00595,0.00318,0,0,0,0,0.0028,0.00498,0.01112,0.00515,0,0.01374,0,0,0.01609,0,0.00354,0.01175,0,0,0,0.00212,0.00263,0,0.00526,0.00567,0.003,0,0,0,6e-04,0,0.00497,0,0,0.0011
"Massilimicrobiota timonensis",0,0.29737,0,0,0.07931,0,0.12525,0,0,0.03445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03733,0,0,0.01219,0,0,0,0,0,0.05513,0.06223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter sp. PC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0,0,0,0.01095,0.00062,0,0.00169,0,0,0,0,0,0,0.00037,0,0
"Faecalicoccus pleomorphus",0,0,0,0,0,0,0,0,0,0,0,0,0.38642,0,0,0,0,0,0,0,0,0.60829,0,0,0,0,0,0,0,1.64543,0,0.00528,0,0.03737,0,0,0,0,0,0.00354,0.05826,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia acetispora",0,0,0.01186,0,0,0,0,0,0.01533,0,0,0.01184,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06716,0,0,0,0,0,0,0.36074,0,0,0,0,0
"Collinsella aerofaciens",0.10352,0.00636,1.37146,0.21306,0.03304,0.57761,0,2.34939,1.08893,0.04711,0.93272,0,0.84912,0.89248,0.38058,0.98452,0.02906,0.25828,0.01288,0.00086,1.11336,0.94884,1.1164,0,0.61417,0.00395,0.00988,1.75167,0,2.63642,1.09445,2.42306,2.44938,0.76184,0,3.3121,0.04149,0.0085,0.00635,3.31758,1.22993,0.00131,2.21203,0.46892,2.34435,0,0.67296,2.92523,0,2.09339,0.23702,0.1963,3.34536
"Blautia hydrogenotrophica",0,0,0,0.53206,0.04428,0,0,0.15497,0,0,0,0,0,0,0,0,0,0,0.06208,0,0,0,0,0,0,0,0.11044,0,0,0,0,0.03502,0,0,0.01524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95294,0,0.00137,0
"Eggerthella lenta",0,0,0,0,0.5007,0.03729,0.04779,0,0,0,0,1.87683,0.03463,0,0,0,0,0.00346,0.1648,0.00049,0.05931,0.18473,0.03163,0.10573,0,0.78199,0.17512,0,0.30986,0.00879,0.01116,0,0,0.00022,0.3474,0,0.01133,0.20982,0,0,0,0.00159,0.13866,0.00228,0,0.00899,0,0.02112,0.00606,0.00561,0,0.02296,0.00905
"Parvimonas sp. KA00067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae bacterium D5",0,0,0.11239,0,0.96904,0,0,0,0.0149,0,0.02809,0.19343,0.37048,0,0.00115,0,0,0,0,0.24432,0.0102,0.21488,0,0,0,0,0,0,0,0.01546,0,0,0,0.00377,0,0,0,0,0,0,0.00439,0.00722,0,0.00978,0,0,0.5756,0.00441,0,0,0,0,0
"Streptococcus sanguinis",0,0,0,0,0,0,0.02741,0.1288,0,0,0,0.0011,0.334,0,0.01867,0,0,0.01229,0,0,0,0,0,0.0272,0.03592,0.10782,0.01842,0.00296,0,0,0,0.00327,0,0,0.01393,0,0.00071,0,0,0,0,0,0.01539,0,0,0,0.00793,0,0,0,0,0,0
"Solobacterium moorei",0,0,0.09171,0,0.03032,0.07833,0,0.00926,0.16181,0,0.00732,0,0.94041,0,0.1502,0.2842,0.00125,0.00092,0.00291,0,0,0,0,0,0,0.00511,0,0.11663,0,0,0.89999,0.00282,0.00362,0.02141,0,0,0,0,0.33371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schaalia odontolytica",0,0,0.00038,0,0.0057,0.00358,0,0.02461,0,0,0.00494,0.02554,0.00217,0.00079,0.00755,0.00089,0,0.00288,0.01459,0,0,0.00166,0,0,0,0.03257,0.0083,0,0.0077,0.00225,0.03037,0.01286,0.00276,0,0.00442,0.00988,0,0,0,0.00363,0.00682,0.00281,0.00026,0.00393,0,0,0.02476,0,0,0,0,0.0663,0.00433
"Bifidobacterium animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04911,0,0,0,0,0.16217,0,0,0,0,0.92433,0.00178,0,0.36043,0,0,0,0,0,0,1.32414,0,0,0,0.00083,0.02797,0,0,0,0,0,0
"Prevotella disiens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fretibacterium fastidiosum",0,0,0.01006,0,0,0,0,0,0.00124,0,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,0.00079,0,0,0,0,0,0,0.00144,0,0,0.00187,0,0,0,0.00772,0,0,0.00091,0,0,0.00444,0.27986,0,0,0,0,9e-04
"Streptococcus parasanguinis",0,0.08536,0.01719,0,0.041,1.97379,0.22589,2.22258,0.01331,0,0.17235,0.0298,0,0.53335,1.47126,0.06506,0.48214,0.03232,0.01994,0,0,0.18934,0,0.03519,0,3.05861,0.04982,0,0.07564,0.18961,0.11789,0.02673,0.04088,0,0.00977,0.05079,0,0,0,0.02988,0.01046,0.00493,0.00758,0.03366,0.00832,0,0.16339,0,0.02631,0.45278,0.59879,0.05194,0
"Prevotella bivia",0,0,0,3.54012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterocloster bolteae",0,0.01091,0.14203,0,0.00638,0.03141,1.66473,0.00123,0,0.00369,0.11306,0.00887,0.00288,0.00049,0,0,0,0.00938,1.23419,0.00937,0,0.00769,0,0,0,0.32864,0.21097,0,0.0019,0.00579,0,0,0.0116,0,0.00117,0,0.06224,0,0.00029,0,0.05199,0,0.01425,0,0,0.02459,0,0.00964,0.25431,0.15816,0.03212,0.08723,0
"Butyricimonas virosa",0.0782,0.26449,0.22997,0,0.06215,0.03893,0,0.03662,0.19658,1.08245,0.59159,0.14911,0.12545,0,0.68689,0.16219,0.01165,0,0,0,0.05771,0.02374,0,0.282,0.15671,0.00287,0.13443,0.31655,0.123,0.7542,0.0032,0,0.00861,0.45692,0.00242,0,0,0.95943,0,0.06625,0.01638,0.27485,0.00026,0.00427,0.09382,0.03444,0.03482,0.01903,0.48992,0.47232,0.84701,0.24693,0.11545
"Parvimonas micra",0.08287,0.24318,0.01175,0,0.41814,0.04572,0,0.02141,0.35295,0,0.00969,0,4.40844,0.04886,0.78172,0.06409,0.05599,0,0,0,0,0.01085,0,0,0,0,0.18152,0.80125,0.73916,0.00362,27.04875,0.00773,0,0.02396,0,0.48494,0.09222,0,1.80468,0.04319,0,0.325,0.00614,0,0,0,0,0,0,0,0.07305,0,0
"Enterocloster asparagiformis",0,0,0,0,0,0,0,0.01112,0,0,0,0.00037,0.00326,0,0,0,0,0,0,0,0.07585,0,0,0.00417,0,0,0.1333,0.00248,0,0.00071,0,0,0,0.00017,0.00511,0,0.05584,0,0,0,0,0,0.00185,0,0,0.13404,0,0.01717,0.15877,0.0133,0,0,0
"Eisenbergiella tayi",0,0.21169,0.36908,0,0,0,0,0.08368,0,0.04844,0.00048,0.00311,0.04996,0,0.01314,0.00622,0,0,0.35815,0,0,0.01075,0,0,0,0.19428,0.13009,0.02166,0.02739,0.02572,4.33269,0.00215,0,0.00845,0.03481,0,0.0086,0,0,0,0.00088,0,0.03399,0,0,0.03338,0.0153,0,0,0.02696,0.00402,0.02167,0
"Pediococcus acidilactici",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces sp. HMSC035G02",0,0,0,0,0,0,0,0.01169,0,0,0.00154,0.00421,0,0,0.02808,0,0,0.0057,0.00044,0,0,0,0,0,0,0.00783,0.00347,0,0.00516,0.00063,0.00301,0.00296,0.00344,0,0,0,0,0,0,0,0.00652,0.00187,0,0,0,0,0.00102,0,0,0,0,0,0.01953
"Actinomyces graevenitzii",0,0,0.00331,0,0.00038,0,0,0.00764,0,0,0,0.00033,0.00877,0.01773,0.01737,0,0,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416,0.00706,0,0.00097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium bolteae CAG:59",0,0,0.0115,0,0.00327,0,0.35842,0,0,0,0,0.02231,0,0,0,0,0,0.00708,0,0.004,0.02642,0.01197,0,0,0,0,0.09917,0,0,0,0,0,0,0,0,0.00453,0.02938,0,0,0,0,0,0.01353,0,0,0,0,0,0.0043,0.0041,0.00758,0,0
"Enterocloster citroniae",0,0.01359,0.00161,0,0,0.07162,0,0.00244,0,0.02228,0.24879,0,0,0,0,0,0,0.01896,0.36262,0.05784,0,0,0,0,0,0.02992,0.06915,0,0,0,0,0,0.00453,0,0.01148,0.1114,0.04952,0.11416,0.01119,0.00663,0.00295,0.00119,0.0129,0,0,0.04017,0,0.0035,0,0.14401,0.04484,0,0
"Prevotella copri",0,0.00238,0,0.03659,0,0.00226,0.00803,0.00193,4.96579,0.00043,0,0,0,2.76233,6.90376,0,20.93465,0,0,0.00103,0.02878,0.00822,0,0,0,0,0.00917,1.56525,0,2.70985,3.16687,0,13.38366,0,0,0.16211,0,0.29376,0,12.94836,0.00398,0,0,0.04831,41.5081,0,0.38129,0,0,0,7.17333,4.40068,15.97779
"Roseburia intestinalis",0,0.02438,0,0,0.01384,0,0,0.00653,0.03278,0,0.00776,0,0,0.13115,0.0331,0.87131,0.00638,0.12219,0,0.19443,0,0.01464,0,0.85613,4.74046,0,0,0,0.08444,0.25017,0.32602,0,0.13387,0.17877,0,0.00051,0.03537,1.90384,1.20687,0.87911,0.55535,0,7.22655,0.14367,0.09196,1.20738,0,0.15973,0,0.06162,0.08315,0,0.06629
"Lachnospira pectinoschiza",4.14804,0.02435,1.80189,0.16443,1.04202,0.27012,0,2.56427,0.39212,0,0.56697,0,0.4052,0.02304,5.03494,1.04792,0,0.00545,0,1.671,0,0,0,0.02202,3.33305,0,0,0.01102,0,2.1926,0,0,0.00813,0,0,0,0,0.06627,1.01713,1.46996,0,0,0,0.00034,0.32597,0,0.57386,0,0.0203,0,0,0,3.69633
"[Ruminococcus] torques",1.48838,0.32224,0.14796,1.08031,0,0,0,0,1.99304,8.98465,0.07128,0,0.72568,1.03738,1.56546,3.37488,0.4105,0.98068,0,1.75055,0.08276,0,0,0.36287,1.84887,0,0.01897,0.54079,2.2297,1.82031,0.04862,4.10188,1.97567,1.40987,2.3636,3.0934,0.34298,0.0586,3.6246,1.47499,0.69634,3.94774,0,0.07313,1.46982,0,2.06258,0,0,0.00051,0.18332,3.0993,1.67151
"Phocaeicola massiliensis",0.92039,0.1016,0,2.00031,0,0,0.00328,0.16733,0,0.04635,0,0.18873,0.10789,0.05922,0,0.59701,0.06537,0,0,0,0,0,0,0,0,0,0,0.72217,0.97005,0,0,0.00401,0.02492,1.08738,0,0,0,1.44023,0,0.02393,0,0,0.11529,0,0,0,0.33652,0,3.10462,3.51851,3.00307,0.60929,0
"Eubacterium sp. CAG:251",0,0,0,0,0,0.76004,0,0,0,0,0,0,0,0.00236,0.01319,1.0156,0,0,0,0,0,0,0,9.24433,0,0,4.24003,0,0.10572,0,0,13.77924,0,0,0,0,0,0,0.28134,0,0,0,12.30474,0.30713,0,0,0,0,0,6.14948,0.00896,4.08692,2.87173
"Bacteroides xylanisolvens",0.20718,0.01069,0.01443,0.28517,0.12758,0.00216,0,0.01038,0.08665,0.1889,0.00061,0.28755,0.18017,0.02508,0.2071,0.20482,2.09943,0,0,0.03209,0.00992,0,0.63103,0,0,0,2.74671,0,0,0.05334,0,3e-04,0.00076,0,0.02685,0,0.03612,0.01064,0,0.00435,0.0254,0.07085,0.01948,1.04067,0.09204,10.42979,0.08798,0.02191,0.13441,0.01415,0.38563,0.38307,0.06595
"Bacteroides finegoldii",0,0,0,0,0,0,0,0,0,0,0.1454,1.23297,0,0.00257,0,0,0,0,0,0,0,0,10.79015,0,0,0.67654,0,0.0136,0.02833,0.33711,0.17981,0,0.85485,0,0.314,0,1.61252,0,0,0.13777,0,0,0,0,0,0,0.01544,0,0.02221,0.66841,1.56731,0,0
"Lactobacillus rogosae",0,0,0.02321,0,0.00167,0.00278,0,0.01518,0.11736,0,0.02776,0,0.00476,0,0.84097,0.03448,0,0,0,0.14106,0,0,0,0.03551,0.23268,0,0,0.01559,0,0.1015,0,0,0.01621,0,0,0,0,0.00542,0.02528,0.33985,0,0,0,0,0.00544,0,0,0,0,0,0,0,0.20155
"Parabacteroides distasonis",2.14373,0.26637,3.08803,0.49354,2.03727,1.35268,0,1.1494,0.37222,0.62126,11.198,11.26853,0.72192,0.04409,0.47191,0.79124,0.91063,0.56018,0.83368,1.01005,2.48819,0,0,2.05468,0.70016,9.00253,3.17133,2.25954,0.37043,0.54973,0.09907,0.03102,0.92649,0.65778,2.3777,0.87307,2.10249,1.26634,8.22627,1.12685,0.3429,0.31348,0.06423,0.13317,0.76994,13.95183,1.71019,0.54824,5.98941,0.77982,2.58349,10.77484,1.03179
"[Eubacterium] siraeum",0.06713,2.03773,1.67549,0,0,0,0,0.21576,3.64822,2.28244,0.14755,0.05635,0.21799,0.00082,0,1.39381,0.39654,3.01779,0,4.79904,1.22001,7.21312,0,1.49127,0.4886,0,0.03753,3.89081,0.13176,0.11487,0,0.19253,0.00226,1.34772,0.25708,0,0.05208,0,0.01136,0.07193,0.02145,1.04339,0,2.91343,0.09854,0,1.26039,1.4335,2.33522,0,0,0,0.2922
"Barnesiella intestinihominis",2.43946,0.94901,1.15926,0,3.36038,0.12764,0,0.45001,0.15679,2.44669,0.16313,2.59683,0.30812,0.09651,0.88955,0.80088,0.11384,0,0,0.69957,0.04932,0,0,0,0.98824,0.59503,1.30838,0.85885,5.50419,1.4354,0.00074,0.02691,0.37373,1.25451,0.78084,0,1.96133,0,0,0.35534,0.16767,1.04544,0.00069,0.71581,0,0,3.34496,0.0987,0,1.78037,0.05014,0.85919,0.93961
"Clostridium sp. CAG:58",0.08471,0.0094,0.2649,0,0,0,0,0,0.02783,0,0,0.00586,0.09597,0.60797,0.00387,0.17447,0.18524,0,0,0,0,0.0124,0,0.01623,0.03591,0.40894,0,0,0,0.31429,0,0,0.24982,0.14644,0.40737,0,0.25927,0,0,0.11056,2.52815,0.04592,0.29693,0.0689,0,0,0.0268,0.03557,0.98867,1.19354,0.23947,0.43831,0
"Streptococcus thermophilus",0,0.05863,0,0,0.75075,0.1231,1.85205,0.2516,0,0,0.0599,0,0.06116,0,0,0.21065,0.06791,1.64402,0,0,0,0.34078,0,0,0.09989,0,0.06061,0.02025,0.00291,0.04874,0.30748,1.05312,0.14465,0.11393,0.61392,0,0,2.39809,0,0.22703,0.00282,0.06648,0.42953,0.05948,0.21355,0.00539,2.02381,0,0.02733,0.56553,0.02634,0.72752,0
"Phocaeicola dorei",0.23282,4.40184,0.03659,0.01548,0,6.67126,0,0.86157,0.42216,0,1.78616,4.8497,3.16731,0.09978,2.49236,0.31926,0,9.27412,0.00769,0.75626,5.11486,0,19.3334,0,0.00074,0,0,0.00197,1.8762,2.0044,0.38249,0.04713,0.02665,0.381,0.24982,0,0,21.27182,0.00115,0.11074,1.75817,4.35506,0.00444,0.01521,0,14.86876,0.85375,0.01492,0.06581,0.04806,1.30925,0.02786,0.21029
"Prevotella sp. CAG:1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10983,0,0,0,0,0,0.00187,0,0,0.09142,0,0,0,0,0,0,0,0,0,0,0,0.03937,0.02177,0,0,3.65962,0,0
