"","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","CCMD19168690ST-11-0","CCMD21593359ST-11-0","CCMD21703880ST-11-0","CCMD27463710ST-11-0","CCMD35633353ST-11-0","CCMD42956136ST-11-0","CCMD49461418ST-11-0","CCMD52117727ST-11-0","CCMD52145360ST-11-0","CCMD59583015ST-11-0","CCMD65222621ST-11-0","CCMD65406197ST-11-0","CCMD71242853ST-11-0","CCMD71915439ST-11-0","CCMD72690923ST-11-0","CCMD76222476ST-11-0","CCMD79349503ST-11-0","CCMD89306485ST-11-0","CCMD92404903ST-11-0","CCMD95431029ST-11-0","CCMD95676152ST-11-0","CCMD98531134ST-11-0"
"Bilophila wadsworthia",0.20708,0,0.01283,0.09228,0.0134,0.04192,0.03447,0.00508,0.42284,0.1202,0.07681,0.01933,0.13727,0.08993,0.12464,0.1909,0.02945,0.04593,0.03028,0.00938,0.05565,0,0,0.01124,0.12379,0.10488,0.18692,0.01649,0,0.07838,0,0.01791,0.04509,0,0.05483,0.07673,0.06916,0,0,0.04457,0.05711,0.01216,0.04501,0,0,0.00378,0.04339,0.00085,0,0.04165,0.01943,0.09005,0.0378,0.09782,0.01279,0,0.13806,0.02421,0.33101,0.0308
"Lawsonibacter asaccharolyticus",0.24764,0.22699,0.27972,0.1233,0.05018,0.07143,0.00628,0.02619,0.13653,0.10039,0.03111,0.01289,0.06426,0.00503,0,0.13501,0.03017,0.03275,0.01605,0.11848,0.02848,0.12843,0.08437,0.20105,0.12623,0.03946,0.00307,0.0523,0.25837,0.08367,0.00602,0.03032,0.00576,0.11425,0.47392,0.13544,0.04238,0.10835,0.0985,0.00664,0.01584,0.04173,0.17675,0,0.17643,0.1903,0.06801,0.0041,0.13272,0.02004,0.01264,0.04567,0.4066,0.25703,0.05566,0.06844,0,0.21097,0.05612,0.07451
"Bacteroides xylanisolvens",3.16166,0.55603,0.10039,0.61101,0,1.18293,0.20317,0.18316,0.02429,0.02977,0.78603,2.77514,0.4275,0.00342,0.18583,0.00297,0.20718,0.06966,0.99096,0.00683,0.12653,1.16229,0.00247,0.37757,0,0.00464,0,0.05622,4.62968,0.92913,0.08185,0.28636,0.25516,1.45489,1.20369,0.27431,0.8842,6.79828,6.33142,1.7333,7.21115,0.0708,0.06646,0.98442,0.0181,0.09213,0.12605,0,0.60843,0.09663,0.14784,0,0.0169,0.03342,0.48034,0.00959,0,0.03407,0.05935,0.12589
"Phocaeicola dorei",0.07072,9.02345,2.90215,3.24727,1.6595,0.19888,0.05449,0.45629,2.25204,0.00147,18.87606,5.44628,1.15467,0.01012,0.00266,0.46885,0.00834,2.09034,0.92744,2.30715,7.10249,0,10.8372,0.06422,2.3994,6.04677,0.01114,0.10536,0,0.00694,1.36249,0.00067,2.04094,0.01183,0.02674,19.18304,5.87683,0.00589,0,0.52917,0,0.07844,0,0,6.03514,2.18594,1.74523,0.01807,1.10489,7.36973,3.40767,19.45706,2.50827,0.4131,8.29513,0.05748,0.01878,2.24879,1.34627,1.09005
"[Ruminococcus] torques",0.99533,7.14193,2.58529,0.05449,0.43832,0.18601,0,1.48264,1.36058,0.27913,0,0.28932,6.53892,2.8873,0,0.64963,0.33185,0.13797,0.44706,0.4176,0.17609,0,0.13189,0.20544,0.35004,0.40198,0.09725,0,0,0.44505,0.30475,1.17922,0.65922,0,0.38327,0.29281,0.99146,0.72261,1.05667,0.19104,0.26208,0.86738,0,0,1.36897,0,1.0869,0.79391,0.22402,0.65456,0,3.7501,1.16813,1.67748,0.12903,0.57603,0.00275,0.33466,0.21818,0
"Ruthenibacterium lactatiformans",0.49246,0.47657,0.98501,0.83039,0.04033,0.01299,0.38446,0.01574,1.27695,0.3566,0.08624,0.12609,0.04361,0.11033,0.60284,0.26961,9.26086,0.05845,0.03488,0.01089,0.04886,0.05823,0.21899,0.14433,0.40979,0.36698,0.0469,0.02389,0.11381,0.03681,0.59771,0.02817,0.06041,3.7761,0.07218,0.07731,0.1213,0.06454,0.08531,0.49303,2.07438,0.09588,0.76398,0.00217,0.00257,0.13086,0.14905,0.01575,0.37647,0.53155,0.25052,0.43473,0.53879,0,0.06535,0.06906,0,0.19929,1.33078,0.09496
"Coprobacter fastidiosus",0.00054,1.91864,0.00684,3.47529,0.10486,0.03643,0.01711,0.04017,0.50933,0.20337,0,0,0,0.00731,2.83707,0.08161,0.86968,0.09908,0.02327,0,0.09902,1.57813,0,0.0713,1.0351,0.00848,0.04142,0.02494,0,0.1006,0.00144,0,0.02198,0,0,0,0.69821,1.24738,0.98794,0.13355,0,0,0.09918,0,0.11107,0,0.33735,0,0.2549,0.1561,0.00732,0,0,0.01489,0,0,0,0.16237,0,0.3542
"Bacteroides thetaiotaomicron",1.35066,0,0.90308,4.98823,0.37851,0.0539,0.12459,0.16193,0.93952,0.45002,2.00049,0.36057,1.27348,0.16937,3.02656,0.88148,1.00637,0.35177,0.32206,0.03147,3.08739,3.87136,0,0.00499,5.14223,1.0124,0.0016,0.35485,0,0.03531,0.26309,0.84304,0.00187,4.02174,1.33204,0.97238,0.76544,0.00608,0,3.12241,8.59709,1.2823,0.29468,0.53496,0.11436,0.37079,0.62324,0.3632,0.06039,0,0.31442,0,0.05128,0.41361,1.76808,0.00024,2.15059,0.38513,0.2596,0.02365
"Parasutterella excrementihominis",0,0,0.07881,0.14796,0.02145,0.00476,0,0.01656,1.06813,0.91453,0.86458,0.01064,0.04136,0.1958,0,0.00654,0.04455,0.00498,1.48559,0.01928,0.1702,0.08758,0.11434,0.01285,0,0,0,0.06017,0,0.20086,0,0,0.03709,0,0,0,0.07173,0,0,0.0574,0,0,0.02059,0,0.10391,0.22173,0.51097,0.61683,0,0,0.03695,0.07395,0,0,0,0,0,0.05518,0.06622,0.0038
"Anaerostipes hadrus",0.25597,0.70771,0.34147,0.07423,0.13226,0.01095,0.03797,0.01895,1.87001,1.38905,0.34655,0.11536,0.94314,0.83113,2.70861,0.25492,0.29682,0.02485,0.3758,0.26962,0.17129,1.22593,0.74564,0.18247,0.04839,0.40443,0.04531,0.22151,0,1.06051,0.03922,0.53648,0.08823,0.13942,1.89361,0.49685,0.41444,0.00324,0.00052,0.08422,1.21229,0.42928,0.35462,0.44539,1.8607,0,0.00946,0.43868,0.25207,0.70556,0.26532,0.08661,0.13839,0.20928,0.1577,0.00543,0.00184,0.15557,0.03115,0.02726
"Blautia wexlerae",0.01823,0.25914,0.00516,0.01714,0.10103,0.00713,0.04978,0.04286,0.06331,0.00234,0.33218,0,0.27174,0.86909,0,0.02974,0.29587,0.04086,0.14899,0.00988,0.13787,0.1587,0.5817,0.12564,0.14228,0.02077,0.02043,0.09283,0.05514,0.02942,0.05336,0.34824,0.00873,0.07732,0.01004,0.00441,0.10061,0.44243,0.50007,0.12877,0.01353,0.0507,0.03222,0.15825,0.33368,0.04445,0.03246,0.0694,0.0208,0.21727,0.1731,0.05498,0.00964,0.10085,0,0.03996,0.00732,0.06626,0,0.03504
"Gordonibacter pamelaeae",0.0659,0.18716,0.0874,0.00213,0,0,0,0.00182,0.32416,0.21447,0.04251,0.02392,0.01087,0.00574,0.05425,0.01169,0.03486,0,0.00108,0.00777,0.00767,0.03457,0.01148,0.04432,0.02201,0.18635,0.01983,0.01417,0,0.01377,0,0.02571,0.01195,0.03982,0.06732,0.00602,0.01228,0.02647,0.05905,0.0805,0.00158,0.01552,0.01254,0,0.00446,0.02285,0.04848,0.01281,0.00665,0.0739,0.00671,0.02735,0.0011,0,0.00388,0,0.02477,1.09872,0.20544,0.00203
"Streptococcus parasanguinis",0.06173,0.01673,0,0.01125,0,0.6291,0.18021,0.04474,0.00474,0.02778,0.00291,0,0.00151,0.07813,0.00479,0.00592,0,0,0.0453,0.04725,0.12795,0.0059,0.18201,0.03465,0,0.00728,0.01148,0.32999,0.02267,0.15512,0,0.0535,0.00672,0.34504,0.02392,0.03209,0.00531,0.16354,0.18269,0.03804,0,0.46873,0.03932,0.22756,0.00358,0.80073,0.01696,0.00202,0.00876,0.01693,0,0,0.01003,0.15362,0.00921,0.02551,0,0.04218,0,0.00169
"Eggerthella lenta",0.26516,0.02013,0.00317,0.01456,0,0,0,0.00805,0.07074,0.15439,0.28948,0.00198,0.07242,0.02044,0.06714,0.0421,0.12417,0,0,0,0,0.21908,0,0,0.0148,0.04626,0.00985,0.02506,0,0,0,0.0141,0.02636,0.2443,0.0367,0.01964,0.01207,0.21498,0.86559,0.37395,0.00266,0,0,0,0,0.07781,0.0033,0,0.00594,0.16016,0.03725,0.09851,0,0,0,0,0.15363,0.25424,0.16249,0.00076
"Eubacterium ventriosum",0,0,0,0.06101,0,0.05806,0.00285,0.68096,0,0,0,0.01613,0,0.14722,0.24427,0.51925,0.10525,0.22434,0.64306,0.44406,0.52809,0.32076,0,0.02961,0,0.41985,0,0,0.81318,0.02722,0.52226,0,0.03587,0,0.40892,0,0,0.00263,0,0,0.03157,0.08897,0.28964,0,0.39511,0.11686,0,0.32122,0,0.12635,0.16512,0.07642,0,0.12329,0,0.03662,0,0.03369,0,0.41497
"Actinomyces sp. ICM47",0,0,0.00087,0,0,0,0.00907,0.00191,0.00064,0,0,0,0,0.00301,0.00108,0,0,0,0.00032,0,0,0,0,0,0,0,0,0,0.00478,0,0,3e-04,0.00401,0,0.00105,0,0.00059,0,0,0.00297,0,0.01511,0.00046,0,0,0.00381,0,0.02281,0,0,0,0,0,0.03004,0,0.04062,0,0,0,0.00182
"Holdemania filiformis",0.03006,0,0.12481,0,0.01257,0,0.00125,0,0.02986,0,0,0,0,0.02519,0,0.14295,0,0.00131,0,0,0.00165,0.01324,0.03541,0,0.1466,0.00613,0.07387,0.01452,0,0,0,0,0,0.15008,0.023,0,0,0,0,0,0,0.01627,0,0,0,0.00393,0,0.00039,0.01501,0.0021,0.0072,0,0.005,0.00574,0.00649,0,0,0.00569,0.04156,0
"Ruminococcus callidus",0.0078,0,0,0,0.0151,0,0,0.02163,0,0,0,0,0,0,0,0,0,0.01189,0.21217,0,0,0,0,0,0.03647,0,0,0,0,0,0.07812,0,0,0,0,0,0.84968,0,0,0,0,0.08344,0,0,0.01115,0,0,0,0,0.00187,0,0,0,0,0,0.00748,0,0,0,0
"Clostridium sp. CAG:299",0,0.02613,0,0,0,0,0,0,0,0.22496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia coli",0,0.03504,0.0592,0.72224,0.15435,0.04539,0.05922,0.2851,0.04265,0,0,0.01016,0.18037,0.0095,0,0.17943,0.01603,0,0.06842,0,1.41352,0.00304,0.58794,1.82956,0.07482,2.77665,0.02254,4.2543,0.01159,0.42324,0.30284,0.79493,0.02635,0.41683,0,0.01752,0.05288,0.03084,0.01981,0.68908,0.04409,0.1293,0.01268,0.23563,0,0.27501,0.01005,0.00776,0.0037,1.58832,0,0,0.00251,0.12898,0,0,2.13345,0.0373,1.37606,0.01321
"Prevotella copri",0.03404,0.00565,0,0,0.01923,0,15.58642,0,0,0.00076,0,0,8.01392,0.00666,0,0,0.00486,0,0,48.60611,0,0,0,0,0,0,0,0,0,0,0.00364,0.0109,16.4783,2.12056,0,0,0.00054,0,0,0,0.6611,0,0,0,0.03041,0,0,0,0,0,0,0,0.11739,6.03736,0,0,0,0,0,0
"Actinomyces sp. S6-Spd3",0.01639,0,0,0,0,0.00017,0.01335,0.00153,0,0,0,0,0,0.00358,0,0.00185,0,0,0.00377,0,0,0,0.00674,0,0,0,0,0.00103,0.00197,0,0,0.00185,0.00204,0,0,0,0,0,0,0,0,0.00825,0.00191,0,0,0.00466,0,0.00235,0,0,0,0,0,0,0,0.00312,0,0,0,0
"Leuconostoc pseudomesenteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia caecimuris",0.00112,0.00656,0.00743,0.00018,0,0,4e-04,0,0.00811,0.03041,0.00131,0,0,0.00084,8e-05,0.00185,0.00221,0,0.00028,0,0.00014,0.00457,0.00279,0.00431,0,0.00415,0,0,0,0.00025,0,0.01063,0.00164,0.00209,0.00789,0.0068,0.00346,0.00372,0.00202,0.00091,0,0.00438,0.00089,0,0.00386,0.0028,0.00218,0.00348,0.00403,0.00127,0,0,0,0,0,0,0,0.03501,0.00912,0.00282
"Streptococcus salivarius",0.0467,0.11108,0.01494,0.03294,0.01503,1.01213,0.66278,0.05414,0.00142,0.03354,0.00484,0.02109,0,0.00824,0,0.1932,0,0.00227,0.04897,0.01869,0.066,0.04177,0,0.03827,0,0.05008,0.00286,0.02527,0,0.16155,0,0.14769,0.0236,0,0.01071,0.02144,0.0151,0.02051,0.02812,0.02452,0.01848,2.53957,0.00472,0.24398,0.01399,0.01392,0.23803,0.04266,0.08398,0.12057,0.00583,0,0.02729,0.03455,0.07735,0.11187,0,0.00326,0,0.01335
"Eubacterium sp. CAG:180",0.04651,0,0,8.28674,0,7.37364,0,5.75552,0,0,0,0.01817,0,0,0.03406,0,3.26447,9.27863,0,0.08299,0,0,0,6.15283,12.22012,0.02782,0,2.04353,0,7.48555,10.41587,0,0,17.8789,0,0.01415,0,0.04663,0,0,0,0,0,0.00478,0.0286,0,0.82525,0.0068,8.47049,0,0,0,4.07505,4.58383,0,0.15964,0,0,0,0
"Bifidobacterium angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia faecis",0.08355,0.01323,0.3454,0.73132,16.73341,5.22459,0.33133,2.84762,0,0.08273,1.79497,10.41817,0.0205,6.2354,0.00191,0.04749,2.72504,4.46731,0.00383,1.62875,0.39734,0,0,5.51338,8.09335,0.68223,2.78369,0.00191,3.79401,1.49185,0.91193,6.78684,0.91746,2.16941,0.0569,0,0.00103,0.0297,0,2.06912,0.12608,0.07964,0.09632,0.00694,7.50257,4.22176,3.95148,7.72737,0.46937,0.11743,9.86379,0,1.62454,5.21462,9.42177,3.58368,0.71719,1.50574,0.27667,1.63874
"Firmicutes bacterium CAG:83",0.02209,0,0,0.10746,0.18206,0.0862,0,0.11397,0.04234,0.11371,0,0.30917,1.98883,1.13292,0.02646,5.38296,0.54463,0.29352,0.4015,0.03261,0.06645,0.42955,0.41043,0,0,0.22214,0.41412,0.01365,0,0.01683,1.42215,0.08749,0.17621,0.07345,0,0.00437,0.14348,0.45954,0.81807,0.86525,0.01956,0.74128,0.02234,0,0,0.20812,0.85439,0.05969,0.2349,0,0.82465,5.669,0.16435,0.11536,0,0.94964,0,0.62302,0.2208,0.33089
"Akkermansia muciniphila",0.00539,3.12304,0,0,12.57296,0.00269,0,0.53343,2.5686,10.21463,0.71338,2.10116,0.02112,1.19046,0.01732,4.99335,0.00263,0.00416,0,0,0.35777,0.02534,0,0.10349,0,11.39615,1.19357,0.06999,19.11455,6.21802,0.04023,0,0.0031,0.01859,0.03648,0,0.7635,0.00197,0,0,4.98389,1.0903,20.03888,0,0,0.00839,0.45639,0.05226,16.21407,0,2.34079,0.00013,1.2865,0,0,0.14693,42.50619,8.2206,0.02579,0.36837
"Klebsiella pneumoniae",0,0,0,0,0,0.01253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23029,0,0,0,0,0,0,0,0.4649,0,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01016,0
"Alistipes shahii",0.19104,0.151,0.06417,0,0.22799,0.10511,0,0.15796,1.5219,0.1463,0,1.1765,0,0.39859,0,0.30149,0.59416,0.22436,0.08626,0.07184,0.26711,0.00021,0.25954,0.05783,0.47779,0.43027,0.14284,0.02126,0,0.50215,0.6008,0.06678,0.00036,0.00093,0.00268,0.15373,0,0.04014,0.07191,0.10458,0.15063,0.31963,0.69543,0,0,0.19669,1.17028,0.00415,0.97272,0,0.05359,0,0.04502,0.13544,0.47261,0.11781,0.00075,0.53642,0,0.10983
"Roseburia sp. CAG:182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00089,0,0.00579,0.16695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00719,0,0,0,0
"[Ruminococcus] gnavus",0.70281,0.43845,0.06563,0.17275,0.01783,0,0,0.00107,0,0.00595,0.85996,0,0,0.30266,2.80613,0,0,0,0.0038,0.04616,0.00646,0.45555,0.00904,0.00525,0.54565,0,0.21346,2.91048,0.02388,0.02095,0,0.00588,0,1.48064,0,0.04504,0.05509,0.1379,0.20212,3.31533,0,0.00423,0,71.23263,0,0.09438,0.00065,0.00349,0.01878,15.44283,0.23738,0.10039,0,0.09086,0.021,0,0.4044,0,0.23818,0.05752
"Alistipes inops",0.32569,0,0.86403,0,0,0.04917,0,0,0,0,0,0,0,0,0,0.03562,0,0,0.09329,0,0.08446,0,0.88663,0,0,0,0,0.05931,0,0.05063,0,0.16908,1.12935,0,2.83193,0,0.00272,0,0,0.00095,0.02601,0.28768,0,0,0.0695,0,2.71376,0.09892,0,0,0,1.21037,0,0.50116,0.25781,0,0.00186,11.50987,0.92137,0.47902
"Klebsiella variicola",0,0,0,0,0,0.00808,0.00346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32663,0,0,0,0,0,0,0,0.06516,0,0.00272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium sp. CAG:266",0,0,0,0,0,0,0.00332,0,0,0,0,0,0,0,0,0,0,0,0.00032,0,0,0,2.51197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9391,0,0,0,0,0,0,0,0,0,0,0,0.50961,0,0,0,0,0,0
"Bacteroides fragilis",1.14542,1.05789,0.71606,0,0.00864,0.10226,0.3966,0,0,0,0,0,0,0.30099,0,0,4.11001,0,0.05539,0.02214,0.82694,0.47617,2.61136,0,1.16654,0,0.82804,0.22679,0,2.23192,0,0.00468,0,0,0,0.36128,0,0,0,11.68396,0.06574,0.14366,0.25491,3.62166,0.58528,1.55907,0.69083,0.07211,0.07065,0,0,0,0,0.68716,0,0,1.27723,0.72042,0.6432,0.22137
"Firmicutes bacterium CAG:110",0,0,0,0,0.09794,0.19586,0,0.62532,1.05075,0,0,0.0472,0,0,0,0.03149,0.14232,1.08226,0,0,0.75747,0,0.11605,0.14139,0.11879,0.18456,0.4843,0,0,0.72731,0.33738,0,0.576,0,0,0,0,0.00158,0,0,0.32796,1.01636,0.51083,0,0,0,0.02963,0.00342,0,0,0,0,12.2804,0,0,0.02869,0,1.38789,1.57675,0
"[Eubacterium] siraeum",0.65516,0.24162,0,0.188,4.14801,17.00888,0.18091,1.35216,0.01238,2.92301,0,0.35243,3.0228,0,0,1.45248,0.13988,0.53125,0.94676,0.073,0.02583,0,0,1.19836,5.5122,0.67493,3.35519,0.06394,1.05449,3.87193,0.10701,0.00349,0.1492,0.07876,1.19305,0.01963,0.52606,0.21483,0.25487,0,2.70293,3.03245,0.45705,0.00933,0,9.34212,0.1798,0.04283,1.07537,0.59465,17.96037,0.40015,10.35769,0.11536,5.35516,0.6543,0,0.9881,6.34627,2.35007
"[Ruminococcus] lactaris",1.14869,0,0.1093,0.90461,0.62717,0.26882,0.03665,3.24094,0,1.9216,0,0.00629,0,0.69791,0,1.84053,0.45854,0.67021,0.3207,0.1557,0,0,0,2.42908,0,0.06724,0,0,0,1.05331,0,0,3.03289,0.00141,0,0,0,0.03318,0,0.08983,0.23643,0,1.6239,0,2.21382,3.95187,4.41949,0.60397,0.41149,0.01382,2.45728,0.52616,0,1.76048,0,0.14482,0.01388,1.30097,0,0.06615
"Parabacteroides distasonis",0.03418,1.48976,1.64911,0.44884,1.2386,0.64233,0.12615,0.4342,3.90332,0.33292,2.87917,1.37005,0.99708,1.78731,0.006,1.86441,0.65118,0.73202,0.3376,0.00072,1.13834,4.36213,0.63463,2.64012,3.29775,1.38499,1.25392,0.50732,0.92078,1.58848,0.28865,0.59593,0.36322,0.00204,1.71996,1.29945,1.78888,0.01051,0,1.25383,1.35748,3.09657,0.63762,0.00107,1.55492,0.78984,1.12775,0.45763,0.6598,1.00623,0.51588,4.53506,1.55409,0.83789,0.30934,0.02231,0.00571,0.37646,0.98454,1.39062
"Firmicutes bacterium CAG:94",0.23218,0.19207,0.3197,0.03798,0.10499,0,1.46194,0.00679,0.50432,0.08467,0,0,0,0,0,0.0244,0,0,0,0.01994,0.00758,0,0.00361,0.93131,0.02711,0.25531,0,0,0.0078,0.18924,0,0,0,0.07157,0.18165,0,0.01304,0,0,0,0.41486,0.50545,0.00658,0,0.34338,0.07316,0.07001,0.01128,0.17558,0.23224,0.02519,0.24194,0.20256,0.03488,0,0,0,0.50525,0.05986,1.21396
"Firmicutes bacterium CAG:95",0,0,0,0,0,0.10994,0,0.03194,0,0,0,0,0,0,0,0.01981,0,0.05471,0.00496,0.00052,0.0089,0.02175,0.69334,0.01468,0,0,0.01856,0,0,0.17892,0.00996,0,0.27175,0,0,0,0,0,0,0,0.0303,0.00843,0.2311,0,0,0,0,0,0.00955,0,0,0,0.55076,0,0,0,0,0.02802,0,0
"Klebsiella quasipneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02182,0,0,0,0,0,0,0,0.67364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia mucilaginosa",0,0,0,0,0,0.00922,0.00888,0.01876,0,0.00476,0,0,0,0.00064,0.00567,0.00029,0,0,0,0.00046,0,0.00758,0,0,0,0,0,0.00017,0,0,0.08463,0.00858,0.00048,0.00669,0.00059,0.00128,0.00056,0.00282,0.01208,0.00129,0,0.03991,0.02528,0.01585,0,0.00302,0.04888,0,0.00356,0,0,0,0.00752,0.00232,0.01913,0.0514,0,0.00574,0.00039,0
"Phascolarctobacterium faecium",0.00063,0.92894,0,0,0.14436,0.02928,0.14756,0,2.50455,0.8989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39802,0.60958,0,0,0.40152,0,0,0,1.07859,0,0,0,0,1.06892,0,0,0.43653,0,0,0.00362,0,3.36687,0,0.79315,0.20349,0.59887,0,0,0,0,0,0,0,1.26255,0.08388,0.18051,0
"Bifidobacterium dentium",0,0.00418,0,0.00483,0,0.02468,2.43913,0,0,0,0,0,0,0,0,0.0089,0,0,0,0,0,0,0,0,0,0.01048,0,0,0.00132,0.01794,0,0,0,0,0,0,0,0,0,0.01388,0,0.41486,0.0159,0.04277,0,0.01987,0,0,0,0,0,0,0,0,0,0.73511,0.12924,0,0.3131,0.00523
"Klebsiella michiganensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06009,0,0,0,0,0,0,0,0,0,0.0288,0,0,0
"Oscillibacter sp. CAG:241",0.19211,12.94301,0.79384,2.21892,0.08136,0.31501,0.59537,0.03454,3.48404,1.1901,0,0.19935,0.00279,0.40107,0,2.46841,0.03505,0.15848,0.61752,0.00013,0.84537,0,0.32139,0.0151,0.01757,1.697,0.2915,0.00176,0,0.00066,2.5452,0,0.27911,0.00506,1.25403,0.21613,0.00349,0,0,0.00015,2.99383,4.02472,0.06768,0,0,0.14175,0.91064,0.03293,0.7877,1.7417,0,0,1.30128,0.18048,0,0.06512,0,0.66277,3.26048,1.24475
"Coprococcus eutactus",0.0096,0,0,0,0,0,0,0.51487,0,0,0,12.67002,0.45964,0,0,0,0,0.36415,0.00571,1.08516,2.67168,0,0,0,0,0.00108,6.90869,0.00168,0,11.21712,0,0,3.5735,0.01972,0.06279,0,0.00253,0.00273,0,0,0,0.31576,0,0,0,0,0.60316,0.00232,4.10249,0,0,0.05029,0.00207,0,16.89942,6.09159,0,0,1.14998,0
"Phascolarctobacterium succinatutens",0.01127,0,0,0,0,0,0,0.1666,0,0,0,0,0,2.28427,0,0.91406,0,0,0,2.93679,0,0,0,0,0,0,0,0,0,0,0.02769,0,0.00608,1.79456,0,0,0,0,0,0,1.96506,0,0.48608,0,0,0,0,0,0,0,0,0,7.77221,0,0,3.88656,0,0,0,0
"Anaeromassilibacillus sp. An250",0,0.04085,0.15476,0,0.10924,0,0.20794,0.02366,0,0.00017,0,0.01057,0,0,0,0.04026,0.03582,0.00626,0.00823,0,0.03251,0.01072,0.03816,0.01764,0.00897,0.01155,0.02885,0,0.02809,0.02537,0.05366,0,0.00845,0,0.28096,0.02075,0.05885,0.02452,0.02117,0,0,0.07455,0.0081,0,0.00232,0.01805,0.02004,0.00797,0.00717,0.01571,0,0.01374,0.00095,0.00589,0.0418,0,0.02877,0.10245,0.00773,0.03229
"Intestinimonas butyriciproducens",0.00924,0.00045,0.00687,0.04111,0.08584,0.00064,0.1261,0,0,0.10961,0.09397,0.04265,0.24262,0,0.01068,0.05781,0.02527,0.01094,0.00544,0,0,0,0.0066,0.19079,0.09889,0.00279,0.01035,0.00088,0.08027,0.02269,0,0.00922,0,0,0.0121,0.0045,0.01461,0.01806,0.01329,0,0.13823,0,0.06323,0,0,0,0.06389,0,0.03681,0,0.01312,0.00262,0.13419,0,0.0053,0,0,0.1924,0.00941,0
"Lactobacillus delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,0,0,0.00156,0,0.00182,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174,0,0,0,0,0
"Veillonella dispar",0,0.00164,0,0,0,0.00921,0,0,0,0,0,0.00268,0,0,0,0,0,0,0,0,0.01757,0.01149,0,0.00156,0,0,0,0.02436,0.00215,0.06411,0,0.00607,0.00497,0,0,0,0,0.002,0.01454,0.00234,0,0,0.00383,0.00724,0,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia sp. CAG:309",0,0.15496,0,0,0,0.13008,0,0,0,0,0,0,0,0,0,0.00634,0,0.03777,0,0,0.01826,0,0,0,0,0,0.00713,0,0,0,0,0,0.00998,0,0,0,0,0,0,0,0,0.30016,0.02375,0,0,0,0,0,0,0,0,0,0.01041,0,0,0,0,0.00356,0,0
